통계표,계정항목,단위,변환,2003/01,2003/02,2003/03,2003/04,2003/05,2003/06,2003/07,2003/08,2003/09,2003/10,2003/11,2003/12,2004/01,2004/02,2004/03,2004/04,2004/05,2004/06,2004/07,2004/08,2004/09,2004/10,2004/11,2004/12,2005/01,2005/02,2005/03,2005/04,2005/05,2005/06,2005/07,2005/08,2005/09,2005/10,2005/11,2005/12,2006/01,2006/02,2006/03,2006/04,2006/05,2006/06,2006/07,2006/08,2006/09,2006/10,2006/11,2006/12,2007/01,2007/02,2007/03,2007/04,2007/05,2007/06,2007/07,2007/08,2007/09,2007/10,2007/11,2007/12,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06
"8.4.11. 석유제품수급","생산","천배럴 ","원자료","78,826","71,319","74,847","67,194","67,680","67,214","70,206","61,319","60,959","72,918","72,759","75,797","78,213","73,071","76,595","72,868","71,794","66,376","64,185","72,508","70,857","78,309","79,094","82,543","81,800","73,267","81,249","72,478","76,987","67,725","75,026","72,949","75,360","79,334","82,527","84,197","85,234","72,504","79,960","76,045","82,115","69,730","80,872","81,043","79,864","79,250","81,230","82,137","84,825","77,829","80,986","76,797","81,018","78,135","78,309","76,224","74,202","76,888","84,621","86,064","82,696","74,323","79,531","73,313","80,753","71,580","78,029","75,788","80,118","80,355","79,277","82,986","83,874","72,850","79,780","76,351","70,601","73,665","74,363","78,326","72,712","78,737","73,852","77,542","78,720","72,217","73,934","74,220","75,640","76,918","74,541","81,958","80,862","82,786","81,650","85,478","83,610","75,728","85,067","82,870","84,345","81,468","85,731","80,823","82,035","88,545","84,560","87,475","88,524","82,679","81,663","79,142","87,963","86,752","89,285","86,330","86,530","89,128","85,597","91,113","91,306","82,214","83,712","72,188","78,766","83,283","86,013","83,703","81,344","85,877","86,166","87,409","83,357","78,056","88,599","77,297","84,476","79,010","89,865","93,341","85,627","88,970","90,568","90,928","94,527","85,547","92,083","87,081","93,225","94,539","98,283","99,309","88,028","91,687","91,311","101,366","96,662","98,196","96,648","90,060","98,055","93,055","98,559","99,454","91,724","94,600","96,449","104,150","106,653","97,776","103,159","94,355","101,233","92,758","106,078","105,154","98,530","109,273","104,386","110,295","109,445","99,520","94,864","99,976","109,488","102,762","109,415","104,471","104,201","107,342","106,760","110,629","113,525","101,268","105,128","103,807","101,503","99,281","107,363","108,647","103,141","96,424","102,540","108,082","107,454","99,888","102,905","92,416","94,380","93,102","98,788","98,265","89,796","91,860","92,024","98,124","94,011","87,751","93,507","92,642","100,647","92,682","99,885","102,930","96,302","101,069","97,841","104,551","107,437","96,301","104,576","98,410","103,575","98,130","110,566","111,460","103,606","100,994","102,799","106,136","104,225","97,261","104,724","101,020","111,989","91,795","102,872","98,761","102,650","110,540","108,468","112,176","112,272","104,181","105,369","106,622","107,744","99,576","109,120","112,225","105,442","105,598","102,764","105,207","108,030","96,276","99,328","105,171","107,123","103,019"
"8.4.11. 석유제품수급","국내소비","천배럴 ","원자료","75,356","65,646","65,378","56,246","59,662","60,051","56,833","58,422","57,410","65,709","67,508","74,720","70,783","62,564","67,256","58,855","59,289","58,425","56,221","60,645","59,338","63,049","63,719","72,184","72,220","62,637","71,818","62,488","58,178","59,452","56,831","60,773","59,741","57,812","64,844","74,287","70,947","61,533","66,872","60,085","61,094","59,296","57,000","62,986","59,667","61,512","68,704","75,824","73,444","65,409","69,058","65,546","64,923","61,452","62,199","63,243","62,764","66,374","68,835","71,699","71,738","64,794","68,279","60,333","64,259","58,272","60,512","60,783","61,614","60,274","60,272","69,511","67,644","64,785","66,648","64,988","65,604","61,915","61,166","62,475","60,008","66,255","65,024","71,968","69,318","62,758","66,693","65,588","65,202","62,670","62,149","66,148","63,456","66,131","69,146","75,019","72,995","64,298","69,470","57,874","62,300","63,066","66,618","67,960","66,615","67,599","68,029","74,818","73,373","69,089","66,803","62,767","68,799","69,621","68,710","68,181","67,301","68,856","70,916","73,263","72,946","64,092","68,288","65,476","67,054","67,447","68,960","70,523","65,440","68,656","71,111","75,208","70,354","63,969","69,817","65,766","68,708","66,020","67,822","70,830","66,131","68,886","68,124","75,029","74,073","68,225","72,915","68,980","66,496","66,880","68,592","73,951","69,069","73,390","74,033","79,642","78,948","76,463","76,433","70,824","75,941","72,854","73,116","80,961","75,069","77,794","79,741","86,055","80,063","74,745","80,765","72,148","76,925","74,705","79,481","78,169","77,244","80,154","80,364","85,320","84,127","75,112","77,928","76,990","78,736","76,055","78,120","77,819","76,882","73,526","76,100","83,406","85,418","73,628","77,008","75,990","73,044","72,195","78,932","81,915","72,735","75,969","79,686","85,426","80,937","72,092","71,206","69,013","78,519","71,642","72,945","72,098","71,809","69,972","71,126","75,820","76,364","73,060","76,435","75,924","76,062","77,337","79,604","78,772","80,285","78,346","76,640","89,342","88,347","75,859","79,527","74,278","80,761","69,986","81,743","83,451","73,919","75,231","76,786","87,386","80,197","72,874","81,717","70,451","76,352","71,653","79,732","77,511","75,830","78,107","79,708","81,867","85,508","75,029","80,686","77,903","78,894","80,214","75,546","82,211","78,872","84,366","77,292","81,877","78,812","72,561","78,010","77,108","75,022","76,746"
"8.4.11. 석유제품수급","수입","천배럴 ","원자료","98,130","82,302","96,696","83,607","77,976","65,861","96,736","72,048","79,563","85,002","93,538","93,249","75,278","96,830","78,848","79,652","82,040","82,448","76,419","82,494","77,130","89,295","104,296","96,171","75,129","84,560","97,794","79,636","81,140","78,952","80,890","84,020","85,886","83,110","93,920","97,519","88,483","89,448","83,154","83,952","92,933","84,236","88,622","97,599","90,680","87,840","92,683","100,724","88,616","86,799","97,551","84,564","97,291","88,824","88,448","86,949","85,248","88,996","96,336","92,049","101,474","86,236","90,985","86,466","94,522","84,635","94,479","91,443","91,070","87,243","88,438","92,494","113,186","97,624","85,982","91,368","85,959","84,081","87,320","94,220","91,007","98,392","80,050","94,110","100,370","89,701","90,927","94,342","99,923","89,057","90,946","96,789","99,325","99,115","97,843","100,926","112,632","94,299","101,864","93,917","94,940","98,326","100,651","96,907","105,201","103,771","96,819","106,978","108,025","105,824","96,213","95,252","105,888","105,683","101,134","106,265","109,795","103,812","109,913","109,085","109,999","103,168","101,381","98,205","104,314","105,048","110,358","97,150","100,672","105,278","102,398","106,311","111,501","100,062","105,714","96,126","101,016","97,212","106,230","110,975","104,708","103,744","106,152","110,704","111,326","104,732","106,904","101,776","117,782","102,440","119,202","112,358","106,423","111,512","112,211","127,319","111,652","121,493","113,846","116,654","118,357","111,319","119,692","116,497","123,110","112,129","120,734","127,246","120,120","113,618","123,419","109,903","119,874","115,329","119,099","126,400","120,486","119,449","118,894","126,063","127,430","123,821","111,031","114,022","123,162","126,570","125,230","121,966","110,171","125,535","123,851","125,121","123,285","121,089","111,123","121,877","112,592","114,038","118,403","132,344","111,722","110,431","121,655","125,512","132,097","118,048","115,834","107,105","109,214","104,403","118,232","104,697","109,500","102,483","93,266","112,757","105,746","105,003","101,041","113,940","111,884","113,134","114,877","117,553","113,486","119,141","111,847","124,812","131,009","112,315","117,110","114,906","110,206","100,599","132,306","125,323","111,377","110,676","114,416","118,113","114,993","121,598","123,063","105,516","112,824","104,446","109,204","108,659","118,628","116,720","121,431","120,743","125,082","119,445","116,939","121,390","122,741","109,594","117,272","129,741","112,449","118,924","115,227","114,356","125,903","109,355","109,399","110,308","125,379","113,295"
"8.4.11. 석유제품수급","수출","천배럴 ","원자료","17,083","18,819","21,014","19,597","16,613","16,608","20,150","15,479","14,025","17,654","16,159","15,876","17,804","18,784","20,691","20,281","24,365","9,384","19,774","18,193","19,653","21,974","19,921","24,682","20,534","17,914","19,261","15,819","20,864","20,480","23,284","23,776","24,174","24,028","26,930","25,582","19,575","18,385","19,561","21,635","22,607","21,436","28,474","32,631","28,925","26,327","25,253","24,262","19,163","23,438","23,476","24,986","23,167","22,994","22,627","26,220","22,933","26,671","29,083","27,313","21,779","22,571","23,925","24,490","27,126","27,294","31,437","30,970","32,963","34,324","28,712","28,175","25,008","26,558","30,116","27,030","23,806","28,537","28,141","28,438","28,153","30,064","27,615","27,446","23,532","22,709","25,249","28,540","27,471","30,141","27,796","31,129","30,466","33,444","31,802","29,503","28,297","27,734","33,946","36,146","35,222","32,697","38,853","35,128","33,724","34,302","35,130","37,159","32,469","35,546","33,827","31,797","34,839","40,124","36,715","34,990","44,933","39,250","38,501","37,906","38,529","35,872","37,402","33,244","34,974","36,013","33,670","36,936","35,717","35,636","39,061","32,237","36,108","32,779","40,789","34,155","36,964","32,633","37,493","39,006","38,384","41,491","37,808","41,213","38,675","35,861","40,454","34,108","36,742","41,822","43,903","44,301","41,835","40,220","37,460","42,044","38,057","38,330","40,321","42,121","42,868","38,416","45,936","39,796","41,615","39,865","37,854","42,539","41,968","39,329","45,608","38,214","42,231","38,226","43,607","42,932","45,763","41,174","44,226","45,836","45,136","41,428","37,777","41,737","46,625","43,322","44,130","47,974","44,782","49,461","44,290","44,901","50,313","39,657","39,675","45,473","41,715","41,415","45,456","45,247","44,471","43,791","40,924","43,964","43,060","42,954","48,327","42,922","34,514","35,434","39,245","38,931","40,018","33,809","33,619","35,696","29,338","29,522","37,184","34,869","39,983","35,495","41,591","36,526","40,736","41,635","38,991","40,687","36,958","38,031","40,456","39,254","43,300","35,845","47,122","50,944","42,045","40,504","39,772","42,789","39,244","40,766","43,206","37,423","45,479","36,010","38,094","38,825","41,984","44,980","43,803","44,589","44,347","41,965","46,530","41,860","45,541","37,420","44,524","45,905","43,922","38,744","41,422","42,066","37,289","39,930","38,423","40,505","45,111","43,403"
