통계표,계정항목,단위,변환,2003/01,2003/02,2003/03,2003/04,2003/05,2003/06,2003/07,2003/08,2003/09,2003/10,2003/11,2003/12,2004/01,2004/02,2004/03,2004/04,2004/05,2004/06,2004/07,2004/08,2004/09,2004/10,2004/11,2004/12,2005/01,2005/02,2005/03,2005/04,2005/05,2005/06,2005/07,2005/08,2005/09,2005/10,2005/11,2005/12,2006/01,2006/02,2006/03,2006/04,2006/05,2006/06,2006/07,2006/08,2006/09,2006/10,2006/11,2006/12,2007/01,2007/02,2007/03,2007/04,2007/05,2007/06,2007/07,2007/08,2007/09,2007/10,2007/11,2007/12,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06
"8.4.9. 부문별전력사용량","총사용량","Mwh","원자료","26,415,264","24,943,032","24,587,115","24,347,637","23,251,967","23,465,898","23,605,893","24,290,405","23,800,219","23,793,012","24,885,960","26,212,828","26,752,036","27,086,585","26,350,310","25,615,694","24,587,236","25,131,882","25,577,155","27,249,274","25,634,547","24,772,485","26,131,502","27,206,879","29,238,796","27,497,979","28,035,082","27,373,270","25,918,867","26,810,982","27,374,078","28,435,470","27,315,742","26,167,397","27,679,290","30,565,876","31,823,465","29,978,782","29,262,514","28,826,291","27,349,505","27,613,396","27,999,171","29,861,619","29,431,425","26,316,296","28,914,360","31,342,548","32,543,861","31,089,129","30,138,431","30,374,816","29,029,176","29,203,872","29,845,821","31,669,513","30,680,240","29,202,242","31,274,923","33,553,409","35,129,161","34,177,711","33,293,772","31,704,738","30,119,983","30,352,080","32,010,671","33,021,497","31,322,927","30,403,363","30,863,876","32,670,358","34,349,683","33,306,296","32,615,254","32,478,163","30,436,168","31,079,781","32,430,824","33,043,506","33,525,439","31,044,394","33,530,622","36,634,505","39,712,861","37,220,269","35,568,069","35,979,970","33,819,812","33,835,637","35,551,241","37,264,761","36,254,476","33,555,161","36,106,325","39,291,648","43,116,656","39,845,241","38,447,975","37,727,320","35,466,174","35,759,644","37,296,560","38,374,057","36,871,130","35,615,491","36,880,435","39,669,577","42,486,807","41,932,128","40,324,308","38,496,407","36,388,770","36,610,560","38,149,087","39,901,705","37,881,181","34,907,400","37,931,181","41,583,414","44,491,470","41,012,232","39,520,573","39,007,192","37,460,418","37,366,213","39,171,508","40,647,057","38,781,510","36,964,747","38,533,486","41,892,174","43,775,187","41,221,994","40,637,619","39,266,561","37,390,795","37,855,377","40,010,750","40,047,644","38,174,482","37,828,850","38,743,663","42,638,778","45,443,037","41,824,560","40,877,323","40,078,451","37,889,662","38,345,447","39,394,075","41,945,454","39,718,750","37,464,995","38,878,437","41,794,623","44,650,894","43,570,226","42,245,182","40,123,455","38,235,590","39,668,106","40,590,292","44,411,841","41,203,914","38,549,181","40,256,466","43,533,756","45,196,953","44,422,400","42,558,535","40,811,060","38,743,894","39,672,664","43,208,492","45,353,733","42,336,101","38,368,804","41,293,174","45,780,576","48,361,741","46,749,816","42,936,450","42,032,551","40,530,519","41,045,645","44,029,950","49,532,098","43,729,300","39,977,730","41,905,476","45,317,885","48,644,909","44,353,990","43,089,013","42,440,870","40,708,218","40,620,016","42,966,423","47,558,698","43,649,517","40,623,056","41,111,913","44,732,114","46,326,916","44,498,867","42,870,785","40,475,290","38,327,716","39,752,893","42,067,820","44,599,216","45,110,792","39,065,312","41,147,026","45,027,083","48,755,561","45,187,963","43,074,366","41,899,677","40,842,275","42,031,874","45,971,797","48,929,956","44,818,885","41,838,221","42,829,616","47,250,619","50,441,572","47,541,471","45,836,806","43,758,280","42,204,994","43,015,061","48,533,126","50,162,066","45,316,795","42,342,925","42,491,088","46,927,909","51,240,911","47,874,746","44,094,602","42,300,848","41,426,069","43,009,536","46,657,960","50,433,601","48,055,771","41,750,178","42,906,251","46,215,483","49,630,014","46,697,821","45,368,404","42,771,101","41,200,280","42,815,600","47,096,107","52,419,907","50,383,622","44,090,084","41,930,341","45,417,383","48,796,423","47,065,129","45,156,696","43,116,890","41,218,598","43,005,888"
"8.4.9. 부문별전력사용량","  가정용","Mwh","원자료","4,089,067","4,005,757","3,535,938","3,681,920","3,519,326","3,562,875","3,571,995","3,897,428","3,875,935","3,603,975","3,646,259","3,581,607","4,204,620","4,348,752","3,916,370","3,952,916","3,766,155","3,816,530","3,883,205","4,675,245","4,121,334","3,823,664","4,006,960","4,099,569","4,499,794","4,468,249","4,061,280","4,178,241","3,894,252","4,108,001","4,141,834","4,666,902","4,297,548","3,999,118","4,127,784","4,430,033","4,778,844","4,621,615","4,134,511","4,349,790","4,027,015","4,151,785","4,217,473","4,840,413","4,575,148","3,984,903","4,312,013","4,528,385","4,706,885","4,736,309","4,202,931","4,462,705","4,183,592","4,261,529","4,300,542","4,980,564","4,844,204","4,317,981","4,504,220","4,672,524","5,002,651","5,037,259","4,559,994","4,621,476","4,327,527","4,412,073","4,554,289","5,212,158","4,714,525","4,373,511","4,619,509","4,792,968","5,200,531","5,165,742","4,516,807","4,756,324","4,485,765","4,549,373","4,620,457","5,027,235","4,862,515","4,519,174","4,865,299","5,026,261","5,507,536","5,418,969","4,747,389","5,021,423","4,710,172","4,753,084","4,903,709","5,729,394","5,522,699","4,726,705","4,962,997","5,190,092","5,708,799","5,645,092","4,841,793","5,077,700","4,788,809","4,794,289","4,929,816","5,557,244","5,221,464","4,744,069","5,040,752","5,214,421","5,664,797","5,712,297","5,160,286","5,245,617","4,825,159","4,876,703","5,002,111","6,256,403","5,407,282","4,804,896","5,157,886","5,422,714","5,881,480","5,746,706","4,978,420","5,240,100","4,904,370","4,968,141","5,271,316","6,189,736","5,561,633","4,816,213","5,098,560","5,313,798","5,678,615","5,675,726","4,956,804","5,162,201","4,848,790","4,963,802","5,089,881","5,691,995","5,213,918","4,810,050","5,160,676","5,422,853","5,951,230","5,614,049","5,055,342","5,260,475","4,885,052","4,964,861","5,068,082","6,204,261","5,369,915","4,834,249","5,178,714","5,407,814","5,792,006","5,911,639","5,279,464","5,272,720","4,925,048","5,027,843","5,352,196","6,972,482","5,988,849","4,951,374","5,250,975","5,448,469","5,818,186","5,908,998","5,114,346","5,350,759","4,948,471","5,026,250","5,736,415","6,973,292","5,664,935","4,994,141","5,302,270","5,679,295","6,136,057","6,221,352","5,325,911","5,452,621","5,108,532","5,264,769","5,871,826","8,604,195","6,395,701","5,125,615","5,442,897","5,737,751","6,246,091","6,141,410","5,350,982","5,603,580","5,213,450","5,294,324","5,609,729","7,587,965","6,648,797","5,415,086","5,519,641","5,824,352","6,260,807","6,272,697","5,873,037","5,928,230","5,564,985","5,758,492","5,986,731","7,171,231","7,643,034","5,598,894","5,821,666","6,193,771","6,939,746","6,686,344","5,752,803","5,909,629","5,595,151","5,839,039","6,764,393","9,022,496","6,933,290","5,908,029","5,989,354","6,218,112","6,859,671","6,832,512","6,026,909","6,097,476","5,606,749","5,810,430","7,335,045","8,720,533","7,184,447","5,864,059","5,922,541","6,297,175","6,991,986","6,795,831","5,787,838","5,936,285","5,675,331","5,952,455","7,036,488","9,130,797","8,086,253","6,108,630","5,984,497","6,399,533","6,984,837","6,867,134","6,200,284","6,129,916","5,704,121","6,044,247","7,272,650","10,078,980","9,714,998","6,933,609","6,073,131","6,422,889","7,091,389","7,144,205","6,209,337","6,247,064","5,869,599","6,260,466"
"8.4.9. 부문별전력사용량","  공공용","Mwh","원자료","1,028,178","961,405","945,639","937,108","823,848","874,935","927,286","943,899","940,190","851,183","923,962","1,077,771","1,106,221","1,068,611","1,061,818","1,031,157","900,981","973,540","1,057,062","1,132,416","1,038,282","913,581","990,907","1,142,223","1,225,002","1,165,090","1,188,431","1,146,766","983,952","1,068,247","1,167,210","1,200,095","1,142,122","1,002,126","1,099,493","1,352,089","1,390,787","1,271,026","1,245,042","1,222,790","1,069,647","1,098,778","1,177,006","1,292,244","1,235,762","1,021,021","1,167,790","1,396,661","1,401,561","1,327,497","1,285,094","1,296,526","1,130,833","1,177,411","1,285,128","1,364,193","1,335,123","1,171,101","1,284,510","1,519,602","1,523,300","1,513,567","1,475,240","1,347,133","1,185,546","1,234,560","1,401,717","1,407,042","1,335,940","1,226,168","1,310,398","1,616,688","1,666,080","1,540,121","1,528,489","1,463,246","1,262,053","1,346,197","1,496,890","1,501,390","1,514,988","1,316,375","1,477,283","1,819,146","1,926,310","1,788,713","1,689,651","1,692,119","1,416,320","1,448,346","1,629,458","1,687,476","1,693,973","1,388,689","1,590,350","1,920,137","2,124,665","1,948,890","1,825,123","1,702,229","1,430,626","1,493,435","1,677,590","1,731,261","1,673,873","1,452,306","1,567,187","1,912,126","2,092,377","2,051,774","1,916,960","1,769,610","1,501,295","1,545,611","1,928,367","1,588,063","1,671,867","1,482,762","1,701,972","2,171,682","2,309,354","2,123,222","1,908,230","1,872,996","1,577,656","1,606,528","1,784,949","1,840,371","1,694,543","1,512,084","1,680,322","2,071,900","2,161,006","2,031,694","1,895,170","1,728,110","1,546,210","1,608,592","1,800,994","1,801,628","1,680,856","1,558,647","1,689,121","2,167,226","2,258,692","2,075,684","1,980,378","1,844,206","1,570,941","1,650,151","1,783,054","1,887,381","1,796,667","1,569,215","1,696,845","2,065,360","2,187,277","2,197,661","2,034,229","1,781,257","1,587,979","1,741,629","1,912,822","2,036,030","1,872,732","1,600,279","1,794,146","2,162,376","2,242,733","2,223,466","2,055,509","1,866,997","1,606,449","1,734,024","2,027,380","2,081,653","1,891,448","1,622,337","1,842,265","2,410,267","2,512,534","2,459,523","2,087,112","1,870,357","1,697,216","1,797,238","2,040,130","2,252,486","1,995,910","1,668,728","1,872,158","2,315,184","2,490,073","2,212,197","2,043,806","1,987,117","1,737,244","1,802,440","1,988,444","2,156,318","2,041,721","1,802,605","1,866,077","2,330,107","2,391,444","2,188,731","1,934,169","1,707,567","1,611,359","1,782,624","1,961,210","2,112,628","1,993,411","1,688,593","1,909,100","2,342,069","2,625,675","2,330,217","2,108,420","1,915,657","1,743,019","1,896,257","2,116,521","2,136,491","2,004,684","1,826,636","1,937,333","2,385,002","2,639,207","2,404,999","2,243,266","1,994,621","1,802,395","1,948,988","2,291,622","2,277,359","2,096,537","1,880,524","1,975,550","2,548,077","2,822,474","2,435,408","2,200,075","1,957,673","1,855,839","1,995,544","2,256,781","2,352,846","2,304,796","1,873,348","2,019,130","2,530,336","2,710,922","2,436,775","2,305,768","2,063,474","1,857,086","2,019,929","2,317,524","2,466,747","2,470,622","1,995,033","1,981,177","2,483,757","2,736,061","2,559,022","2,367,919","2,146,694","1,891,039","2,078,951"
"8.4.9. 부문별전력사용량","  서비스업","Mwh","원자료","8,641,748","8,340,782","7,365,479","7,161,295","6,489,256","6,488,976","6,666,185","7,224,091","6,969,744","6,466,340","7,292,532","8,298,377","8,830,283","8,972,120","8,040,904","7,583,946","6,820,215","6,968,806","7,347,103","8,310,352","7,438,016","6,768,664","7,377,399","8,268,565","9,658,804","9,509,988","8,801,785","8,313,744","7,185,553","7,607,980","8,029,761","8,723,798","8,088,575","7,314,160","7,973,624","9,778,791","10,986,164","10,204,931","9,155,216","8,938,950","7,831,434","7,838,581","8,233,069","9,184,734","8,689,508","7,450,385","8,376,019","10,058,772","10,866,291","10,738,706","9,365,077","9,381,808","8,270,064","8,279,936","8,691,157","9,672,249","9,203,826","8,159,532","9,168,284","10,804,288","11,750,225","11,982,629","10,553,059","9,502,189","8,435,189","8,467,546","9,202,828","10,023,405","9,112,717","8,435,499","9,228,903","10,940,876","12,516,933","11,785,449","10,401,325","9,917,781","8,743,109","9,000,386","9,578,963","9,983,859","9,542,758","8,652,123","9,554,087","11,526,201","13,585,412","12,843,331","10,855,621","10,877,068","9,455,208","9,295,039","10,104,520","11,230,451","10,607,473","9,035,295","10,132,180","11,901,471","14,262,566","13,554,206","11,411,544","10,895,248","9,470,110","9,449,146","10,114,516","11,034,717","10,256,889","9,105,906","9,705,805","11,501,621","13,759,085","13,599,172","11,920,066","10,956,292","9,420,666","9,471,078","10,135,882","11,452,468","10,350,403","8,772,294","10,186,466","12,474,903","14,243,845","13,237,272","11,221,782","10,772,305","9,707,702","9,601,421","10,373,255","11,539,402","10,384,218","9,099,773","9,933,619","11,940,280","13,212,367","12,573,503","11,035,392","10,209,944","9,249,073","9,554,942","10,348,376","10,984,554","10,044,700","9,276,718","10,014,815","12,125,132","13,784,585","12,917,082","11,339,416","10,654,862","9,589,348","9,807,886","10,435,256","11,729,391","10,564,468","9,436,353","10,068,598","11,721,952","13,475,979","13,780,170","12,003,776","10,711,250","9,770,495","10,883,509","10,560,866","12,706,589","11,352,426","9,842,070","10,552,367","12,342,589","13,615,459","13,847,567","11,889,603","10,995,209","9,897,405","10,344,496","11,815,599","12,886,528","11,433,383","9,970,487","10,795,087","13,461,475","14,988,553","15,137,738","12,241,877","11,237,134","10,408,427","10,936,353","12,061,724","14,202,908","12,028,885","10,105,108","10,975,102","12,864,885","14,802,584","13,869,973","11,905,768","11,532,704","10,564,509","10,841,753","11,854,575","13,559,206","12,259,798","10,724,508","10,955,251","12,945,079","14,139,098","13,599,770","11,933,768","10,957,672","10,477,397","11,238,542","11,960,080","12,968,200","12,489,370","10,438,459","10,989,998","12,749,046","14,635,497","13,748,614","11,766,385","11,111,707","10,526,013","11,296,933","12,652,014","13,885,600","12,173,223","11,100,499","11,485,154","13,799,959","15,269,684","14,854,224","12,751,919","11,893,990","11,188,867","11,967,508","13,697,688","14,643,726","12,958,862","11,446,612","11,585,474","13,717,066","16,016,230","14,949,692","12,426,155","11,587,090","11,246,563","12,089,234","13,455,031","14,909,755","13,915,471","11,585,121","11,833,139","13,757,371","15,415,708","14,683,199","13,077,690","12,059,141","11,277,878","12,300,321","13,825,934","15,739,654","14,947,368","12,321,696","11,819,334","13,581,294","15,529,832","15,318,481","13,456,355","12,335,924","11,487,525","12,473,561"
"8.4.9. 부문별전력사용량","  농수산업","Mwh","원자료","541,484","575,851","477,148","453,238","417,418","476,170","439,737","489,855","497,843","437,178","662,072","475,538","526,325","592,901","502,566","475,838","446,327","515,766","479,477","624,311","563,553","472,378","796,772","514,331","569,887","623,424","560,835","529,021","498,174","589,770","539,656","611,698","593,007","510,315","791,558","589,169","652,674","662,156","567,078","547,548","505,024","553,084","523,235","642,691","654,270","531,912","845,341","610,683","656,547","710,859","588,603","580,356","562,374","629,754","575,508","682,731","688,722","571,350","866,642","681,345","717,768","761,485","709,968","609,190","588,415","621,888","611,924","743,266","715,275","622,543","953,877","733,229","829,088","827,631","735,226","698,429","645,140","688,549","655,989","734,027","791,394","667,151","1,058,382","813,522","969,598","969,684","825,705","801,814","695,652","723,156","719,963","839,120","864,029","697,868","1,024,694","910,570","1,082,726","1,096,549","932,269","857,263","697,405","738,820","718,216","840,934","888,939","746,991","1,050,280","924,587","1,166,165","1,212,664","1,097,143","977,433","784,896","857,983","804,987","1,040,264","962,390","783,288","1,230,012","1,156,775","1,383,228","1,363,596","1,158,794","1,046,160","872,527","865,492","844,602","1,128,766","1,110,004","863,817","1,236,249","1,188,372","1,397,275","1,392,081","1,210,535","1,064,315","906,010","940,110","928,066","1,103,631","1,084,576","913,022","1,348,320","1,268,514","1,539,856","1,519,542","1,309,573","1,173,557","965,275","1,015,547","943,340","1,220,853","1,218,055","982,037","1,470,881","1,286,448","1,523,880","1,619,182","1,402,812","1,222,057","981,176","1,044,575","1,020,539","1,379,243","1,324,991","1,004,500","1,487,566","1,386,288","1,551,606","1,664,694","1,423,129","1,282,616","1,051,543","1,150,035","1,121,251","1,327,537","1,233,218","1,031,663","1,592,970","1,550,869","1,734,393","1,839,290","1,477,822","1,299,131","1,082,535","1,156,084","1,169,275","1,667,481","1,389,197","1,100,228","1,668,735","1,541,918","1,801,468","1,783,153","1,489,767","1,393,877","1,188,195","1,225,693","1,218,032","1,526,133","1,479,460","1,151,917","1,593,169","1,453,804","1,656,826","1,644,481","1,463,458","1,355,767","1,218,309","1,255,708","1,199,920","1,432,700","1,535,383","1,164,339","1,580,276","1,529,490","1,892,246","1,804,364","1,484,663","1,358,139","1,228,524","1,275,817","1,354,094","1,785,685","1,632,484","1,316,861","1,750,661","1,612,623","1,948,984","1,969,216","1,677,625","1,476,161","1,314,207","1,429,852","1,455,750","1,714,473","1,591,060","1,301,151","1,781,891","1,624,790","1,990,536","1,945,151","1,554,716","1,387,318","1,265,001","1,352,779","1,357,195","1,732,403","1,679,316","1,286,891","1,652,694","1,573,187","1,846,259","1,833,812","1,618,986","1,416,755","1,245,157","1,398,895","1,391,313","1,842,298","1,880,170","1,380,523","1,652,648","1,557,760","1,887,131","1,958,295","1,633,066","1,461,573","1,273,019","1,373,926"
"8.4.9. 부문별전력사용량","  광업","Mwh","원자료","95,484","85,168","99,280","102,840","100,517","102,092","100,238","96,330","93,129","108,777","108,569","112,636","99,227","94,225","104,489","106,840","103,974","106,834","105,345","103,234","104,116","109,037","115,197","116,945","105,440","87,207","106,838","111,433","114,481","114,340","107,167","106,717","109,235","113,464","120,472","120,326","107,070","100,607","113,892","115,313","117,925","119,235","110,393","117,534","124,781","112,532","126,754","127,037","120,348","107,321","116,831","124,476","123,044","125,456","121,404","121,958","118,993","126,671","138,093","139,573","136,341","114,846","131,898","127,406","127,303","115,896","117,459","113,784","108,372","117,744","117,663","117,397","105,714","99,300","108,855","110,706","108,845","114,574","110,543","108,154","120,753","110,721","122,212","129,780","121,661","118,516","128,922","144,738","129,927","147,323","147,904","140,508","142,090","144,194","152,822","164,348","160,825","142,943","160,992","153,727","167,918","170,762","166,937","166,281","151,042","154,134","170,691","161,990","153,493","144,901","151,593","156,651","154,927","131,577","122,396","117,320","115,721","114,517","127,300","125,974","123,434","110,767","120,507","125,727","125,602","124,118","122,848","115,840","113,771","123,631","134,949","136,848","133,180","115,082","125,354","138,004","132,075","130,390","132,453","124,384","116,293","135,148","141,184","147,381","138,573","124,083","125,937","139,720","132,902","140,192","138,611","127,286","132,398","137,612","143,207","150,332","141,394","124,286","143,345","146,192","145,074","148,825","145,442","144,077","139,641","147,815","159,772","168,643","152,302","143,111","158,768","156,978","153,789","256,663","115,407","113,646","122,378","107,854","131,846","133,502","124,326","113,269","121,598","125,971","123,668","123,942","121,525","117,746","113,432","122,428","135,572","134,903","131,195","109,407","123,191","129,241","124,602","121,321","124,549","117,458","111,080","126,561","134,096","139,816","127,894","122,954","127,250","131,671","119,051","121,045","122,121","110,871","124,192","121,748","156,932","166,372","150,194","139,042","152,094","159,266","151,343","152,713","151,575","138,057","140,259","144,297","161,866","166,186","158,433","140,168","153,160","152,037","145,967","141,004","141,915","137,371","134,902","143,732","156,063","154,302","145,149","145,789","149,703","143,855","139,524","141,917","137,939","135,848","134,766","133,358","151,115","150,313","151,966","135,372","144,702","143,711","135,244","133,759","134,569","128,956","121,996","130,390","137,422","140,774","128,441","122,381","127,970","132,385","122,027","118,970"
"8.4.9. 부문별전력사용량","  제조업","Mwh","원자료","12,019,302","10,974,069","12,163,630","12,011,236","11,901,604","11,960,849","11,900,452","11,638,803","11,423,378","12,325,559","12,252,567","12,666,898","11,985,360","12,009,976","12,724,163","12,464,997","12,549,585","12,750,406","12,704,964","12,403,717","12,369,244","12,685,160","12,844,268","13,065,247","13,179,869","11,644,021","13,315,914","13,094,065","13,242,455","13,322,644","13,388,449","13,126,261","13,085,255","13,228,218","13,566,362","14,295,468","13,907,924","13,118,446","14,046,776","13,651,897","13,798,458","13,851,927","13,737,992","13,784,004","14,151,956","13,215,542","14,086,444","14,621,012","14,792,229","13,468,437","14,579,895","14,528,944","14,759,268","14,729,784","14,872,081","14,847,820","14,489,374","14,855,605","15,313,174","15,736,077","15,998,875","14,767,925","15,863,613","15,497,346","15,456,004","15,500,116","16,122,454","15,521,840","15,336,099","15,627,896","14,633,526","14,469,201","14,031,337","13,888,053","15,324,553","15,531,678","15,191,256","15,380,702","15,967,984","15,688,841","16,693,032","15,778,850","16,453,359","17,319,595","17,602,343","16,081,055","17,320,781","17,442,807","17,412,534","17,468,689","18,045,687","17,637,813","17,424,212","17,562,411","18,243,282","19,205,029","19,777,076","17,457,561","19,276,254","19,041,153","18,911,306","19,113,191","19,689,484","19,043,619","18,678,925","19,412,086","19,345,719","19,954,833","19,650,889","19,211,319","20,078,261","19,390,805","19,701,827","19,727,608","20,155,344","19,447,187","19,373,519","18,949,643","19,527,544","20,231,367","20,550,128","18,430,670","20,132,840","19,949,903","20,272,562","20,200,513","20,774,538","19,832,941","19,917,340","20,549,229","20,449,788","21,240,974","21,192,744","19,433,907","21,414,364","20,963,987","20,708,636","20,657,541","21,710,980","20,341,451","20,034,139","21,135,265","20,389,547","21,507,671","21,770,101","19,574,122","21,066,675","21,005,631","20,746,144","20,766,810","21,025,734","20,776,282","20,637,247","20,505,529","20,320,192","21,162,718","21,530,358","19,937,288","21,381,556","20,989,980","20,825,817","20,821,725","21,598,427","21,173,420","20,525,276","21,003,143","21,011,640","22,025,391","21,816,668","20,634,564","21,917,181","21,158,500","21,086,238","21,161,196","22,392,440","21,971,077","21,990,739","20,642,321","21,628,735","22,545,168","22,865,879","20,978,644","21,682,129","22,047,337","22,110,143","21,767,258","22,765,469","22,687,280","21,806,176","21,855,623","21,811,012","22,723,244","23,173,498","20,237,851","22,175,499","21,794,351","21,880,218","21,334,485","22,171,095","22,611,619","21,108,660","21,402,380","21,043,679","22,038,955","21,750,846","20,670,236","21,539,104","20,394,383","19,336,614","19,596,481","20,837,758","20,803,587","21,325,402","20,053,278","20,689,055","22,046,334","22,512,203","20,479,383","21,810,002","21,445,278","21,598,226","21,571,116","22,933,200","21,961,626","21,934,946","21,541,900","21,505,248","23,068,737","23,566,593","21,340,353","22,983,927","22,143,996","22,146,809","21,717,279","23,611,107","22,668,605","21,350,988","21,706,846","21,069,570","22,586,500","23,274,534","21,602,876","21,976,115","21,288,627","21,243,811","21,477,608","22,414,527","22,171,951","21,935,168","20,762,830","21,265,676","21,804,744","22,520,321","20,741,529","22,020,975","20,958,104","20,980,794","20,918,450","22,154,117","22,163,272","21,248,469","21,328,834","20,266,630","21,230,909","21,423,569","19,962,745","21,362,049","20,793,252","20,575,390","20,700,014"
