통계표,계정항목,측정항목,단위,변환,2003/01,2003/02,2003/03,2003/04,2003/05,2003/06,2003/07,2003/08,2003/09,2003/10,2003/11,2003/12,2004/01,2004/02,2004/03,2004/04,2004/05,2004/06,2004/07,2004/08,2004/09,2004/10,2004/11,2004/12,2005/01,2005/02,2005/03,2005/04,2005/05,2005/06,2005/07,2005/08,2005/09,2005/10,2005/11,2005/12,2006/01,2006/02,2006/03,2006/04,2006/05,2006/06,2006/07,2006/08,2006/09,2006/10,2006/11,2006/12,2007/01,2007/02,2007/03,2007/04,2007/05,2007/06,2007/07,2007/08,2007/09,2007/10,2007/11,2007/12,2008/01,2008/02,2008/03,2008/04,2008/05,2008/06,2008/07,2008/08,2008/09,2008/10,2008/11,2008/12,2009/01,2009/02,2009/03,2009/04,2009/05,2009/06,2009/07,2009/08,2009/09,2009/10,2009/11,2009/12,2010/01,2010/02,2010/03,2010/04,2010/05,2010/06,2010/07,2010/08,2010/09,2010/10,2010/11,2010/12,2011/01,2011/02,2011/03,2011/04,2011/05,2011/06,2011/07,2011/08,2011/09,2011/10,2011/11,2011/12,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(종가 15:30)","평균자료","원","원자료","1,178.38","1,191.95","1,236.66","1,230.54","1,199.66","1,193.45","1,180.44","1,178.40","1,164.13","1,167.87","1,185.99","1,191.90","1,182.23","1,166.18","1,165.12","1,152.03","1,176.24","1,158.59","1,158.19","1,158.10","1,147.81","1,141.99","1,086.56","1,050.80","1,038.13","1,020.51","1,008.01","1,009.73","1,002.42","1,012.18","1,037.50","1,021.53","1,029.53","1,046.16","1,040.57","1,023.12","983.76","969.96","975.17","952.92","941.21","955.28","950.56","961.02","952.77","954.17","935.52","925.08","936.90","937.17","943.23","930.95","927.39","928.16","918.45","934.92","930.89","914.81","918.11","930.76","942.72","944.42","982.51","987.24","1,038.21","1,031.07","1,018.18","1,047.11","1,136.64","1,326.85","1,400.81","1,368.80","1,354.68","1,440.19","1,453.35","1,336.28","1,255.62","1,262.28","1,261.96","1,239.69","1,215.00","1,174.80","1,163.18","1,166.13","1,138.77","1,156.83","1,136.11","1,115.71","1,168.41","1,214.02","1,204.94","1,180.05","1,162.94","1,122.23","1,128.08","1,146.23","1,119.43","1,119.51","1,120.45","1,084.83","1,084.05","1,080.87","1,058.49","1,074.05","1,125.09","1,150.25","1,134.19","1,148.30","1,144.56","1,122.94","1,126.94","1,135.41","1,157.07","1,163.61","1,142.33","1,132.06","1,123.67","1,105.49","1,087.15","1,076.42","1,066.54","1,086.06","1,103.81","1,121.10","1,112.10","1,136.59","1,126.15","1,116.16","1,084.79","1,065.74","1,062.69","1,056.06","1,065.80","1,070.97","1,070.69","1,042.75","1,023.99","1,018.70","1,020.60","1,024.61","1,035.80","1,060.91","1,097.11","1,103.60","1,088.48","1,098.38","1,113.05","1,085.90","1,093.03","1,112.44","1,146.16","1,180.04","1,185.06","1,144.80","1,153.35","1,173.20","1,203.79","1,220.45","1,182.15","1,146.71","1,174.58","1,168.36","1,141.70","1,111.42","1,106.77","1,127.65","1,163.22","1,183.30","1,182.24","1,143.36","1,133.95","1,133.57","1,124.65","1,131.62","1,133.13","1,131.40","1,132.93","1,129.48","1,102.82","1,085.95","1,066.54","1,080.70","1,071.21","1,068.05","1,077.05","1,095.96","1,123.05","1,120.96","1,120.19","1,132.78","1,127.55","1,122.65","1,121.72","1,123.66","1,131.88","1,142.79","1,184.93","1,173.58","1,177.09","1,210.66","1,196.79","1,182.29","1,168.43","1,176.01","1,166.68","1,195.16","1,220.23","1,224.42","1,230.06","1,207.83","1,198.86","1,186.26","1,177.65","1,141.93","1,115.20","1,094.50","1,099.03","1,112.31","1,131.06","1,118.32","1,123.39","1,121.99","1,145.14","1,161.10","1,170.43","1,181.87","1,183.37","1,183.78","1,195.30","1,197.75","1,221.27","1,235.09","1,268.38","1,280.83","1,307.45","1,320.35","1,396.50","1,425.83","1,357.86","1,294.42","1,245.34","1,276.54","1,305.40","1,322.05","1,327.93","1,296.55","1,283.22","1,321.54","1,331.73","1,351.11","1,308.01","1,305.12","1,325.67","1,331.37","1,331.63","1,369.25","1,365.05","1,379.95","1,383.37","1,352.87","1,332.76","1,365.37","1,394.32","1,436.78","1,455.50","1,445.58","1,457.92","1,441.92","1,390.70","1,365.15"
"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율","원/달러(종가 15:30)","말일자료","원","원자료","1,170.10","1,193.70","1,254.60","1,215.30","1,205.90","1,193.00","1,179.70","1,178.20","1,150.10","1,183.10","1,202.10","1,192.60","1,173.70","1,176.20","1,146.60","1,173.30","1,160.10","1,155.50","1,170.00","1,153.00","1,151.80","1,119.60","1,048.20","1,035.10","1,025.60","1,006.00","1,015.50","997.10","1,007.70","1,025.40","1,026.80","1,038.50","1,041.10","1,040.20","1,033.50","1,011.60","964.60","970.90","971.60","943.40","945.60","948.90","955.20","961.50","946.20","942.30","929.50","929.80","941.00","941.80","940.90","930.80","927.70","923.80","919.30","938.30","915.10","900.70","921.10","936.10","943.90","939.00","990.40","1,002.60","1,030.10","1,046.00","1,012.20","1,089.00","1,207.00","1,291.00","1,469.00","1,259.50","1,379.50","1,534.00","1,383.50","1,282.00","1,255.00","1,273.90","1,228.50","1,248.90","1,178.10","1,182.50","1,162.80","1,164.50","1,161.80","1,160.00","1,131.30","1,108.40","1,202.50","1,222.20","1,182.70","1,198.10","1,140.20","1,125.30","1,159.70","1,134.80","1,121.50","1,128.70","1,096.70","1,071.50","1,079.20","1,067.70","1,054.50","1,066.80","1,178.10","1,110.00","1,143.00","1,151.80","1,123.30","1,118.70","1,133.00","1,130.00","1,180.30","1,145.40","1,130.60","1,134.70","1,111.40","1,090.70","1,082.90","1,070.60","1,089.00","1,083.00","1,111.10","1,101.20","1,129.70","1,142.00","1,123.50","1,110.00","1,074.70","1,060.70","1,058.20","1,055.40","1,070.40","1,067.50","1,064.70","1,033.20","1,020.10","1,011.80","1,027.90","1,014.00","1,055.20","1,068.50","1,107.90","1,099.30","1,093.50","1,098.40","1,109.50","1,072.40","1,108.20","1,115.50","1,170.00","1,182.50","1,185.30","1,140.10","1,158.10","1,172.50","1,199.10","1,236.70","1,143.50","1,139.30","1,191.70","1,151.80","1,120.20","1,114.80","1,101.30","1,144.50","1,169.10","1,207.70","1,162.10","1,130.70","1,118.40","1,137.90","1,119.50","1,144.10","1,119.00","1,127.80","1,145.40","1,120.40","1,088.20","1,070.50","1,067.90","1,082.80","1,063.50","1,068.00","1,077.70","1,114.50","1,118.70","1,112.90","1,109.30","1,139.60","1,121.20","1,115.70","1,112.70","1,124.70","1,135.10","1,168.20","1,190.90","1,154.70","1,183.10","1,211.20","1,196.20","1,163.40","1,181.20","1,156.40","1,191.80","1,213.70","1,217.40","1,218.20","1,238.50","1,203.00","1,191.30","1,187.80","1,169.50","1,135.10","1,106.50","1,086.30","1,118.80","1,123.50","1,131.80","1,112.30","1,110.90","1,126.10","1,150.30","1,159.50","1,184.00","1,168.60","1,187.90","1,188.80","1,205.50","1,202.30","1,212.10","1,255.90","1,237.20","1,298.40","1,299.10","1,337.60","1,430.20","1,424.30","1,318.80","1,264.50","1,231.90","1,322.60","1,301.90","1,337.70","1,327.20","1,317.70","1,274.60","1,321.80","1,349.30","1,350.50","1,290.00","1,288.00","1,334.60","1,331.50","1,347.20","1,382.00","1,384.50","1,376.70","1,376.50","1,336.00","1,307.80","1,379.90","1,394.70","1,472.50","1,452.70","1,463.40","1,472.90","1,421.00","1,380.10","1,350.00"
