"국가별(1)","산업별(1)",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"국가별(1)","산업별(1)",수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러)
"노르웨이","농림어업",0,0,-,0,4,0,2895,1030,3678,4115,8107,4341,12535,12191,11038,41943,33777,21310,43236,55539,20996
"노르웨이","광업",2095,0,0,3,0,0,56,1221,0,0,167,0,9960,104,0,0,0,0,125,3592,0
"노르웨이","제조업",468309487,850482191,596277409,2079816306,1606323978,2801145147,666390117,1061506723,1539402287,1669782261,4779021725,3509294512,4678505978,2874924419,1801964711,1462256727,813929811,964676717,464551042,450994123,140067218
"노르웨이","폐수처리 및 자원재활용",1345,41920,855,200,19541,3826,1252,1524,829,6900,546,28,12,0,0,6,0,0,0,5550,0
"뉴질랜드","전산업",670306083,672981251,699024996,824784629,890760947,918464478,1103835258,1465065933,1490531604,1730305149,1262746239,1305119651,1305768454,1743553078,1391888257,1463463331,1924022187,3490137390,2856249576,3250372124,872142915
"뉴질랜드","농림어업",354279,243776,336582,413380,395626,297247,307039,586681,847821,893042,1113588,1003947,1120790,1007703,1077540,1317614,1715769,1440140,1381453,1051860,153317
"뉴질랜드","광업",32023,8086,24851,12024,11199,41955,81467,70650,752047,1498770,1138175,314810,1316485,2615839,608362,89419,144942,200008,300831,91792,73892
"뉴질랜드","제조업",669876366,672704584,698647942,824306506,890338275,918115605,1103418223,1464396641,1488930147,1727913337,1260494447,1303799861,1303330309,1739929536,1390200749,1462054358,1922159870,3488497126,2854567267,3249228472,871915706
"뉴질랜드","폐수처리 및 자원재활용",43415,24805,15621,52719,15847,9671,28529,11961,1589,0,29,1033,870,0,1606,1940,1606,116,25,0,0
"대만","전산업",10862932451,12995658161,13027108757,11461971908,9501114850,14830499385,18205965421,14814856041,15699099300,15077397915,12004263679,12220455244,14898397833,20783511545,15666309878,16465446275,24285274425,26198240012,20178765773,33969085326,12318921448
"대만","농림어업",58888410,43934440,58001746,59040399,79131145,86630432,102115325,87104000,105220634,97499295,100350534,97608256,99667568,97439557,118789820,93906006,98763260,90247440,73986804,71667655,15781015
"대만","광업",1922264,1851083,1294013,2606776,2599618,4584548,18989005,6700628,6482653,5948232,5730313,6416825,5879053,7689452,6182536,9002129,21603245,12135767,6513584,13004354,3851654
"대만","제조업",10764029353,12885474733,12874909667,11329884785,9387657402,14622204414,17977193401,14674794368,15565749093,14942753096,11869515735,12083453844,14736661029,20628122051,15504432305,16324442277,24129768732,26059946180,20073103980,33851768112,12289721438
"대만","폐수처리 및 자원재활용",38092424,64397905,92903331,70439948,31726685,117079991,107667690,46257045,21646920,31197292,28667097,32976319,56190183,50260485,36905217,38095863,35139188,35910625,25161405,32645205,9567341
"덴마크","전산업",620594641,653271955,462624160,408329118,478703502,561524752,437663985,349836124,1273631216,2232440330,1416977694,333427667,1496269300,1094175610,447817100,439172664,744456777,510931908,690986327,1800942489,823405045
"덴마크","농림어업",17743,0,12250,88322,63775,17439,78095,68692,28194,11290,25819,10653,875,16206,16706,8014,7145,31020,80784,28664,62
"덴마크","광업",2331,0,0,50,0,0,1,0,0,0,200,0,17,0,0,0,0,0,0,0,0
"덴마크","제조업",620496030,653140006,462546861,408175692,478547306,561431693,437561053,349747448,1273590990,2232390779,1416934819,333408270,1496191938,1094148556,447800385,439159372,744442064,510842770,690889991,1800913825,823404983
