"국가별(1)","산업별(1)",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"국가별(1)","산업별(1)",수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러),수출액 (달러)
"스리랑카","전산업",204870896,193245283,186116565,626559598,170323136,245884326,343615284,320312641,299314987,314124722,277840913,275511942,286837206,281698810,235236550,172016584,287727182,190613070,210666234,186397710,67399324
"스리랑카","농림어업",110877,159129,175589,335373,223396,210788,152615,94239,240411,189018,198834,352424,404778,263708,417206,534770,541023,421803,384194,448596,90426
"스리랑카","광업",434019,358552,504901,900563,252886,409688,569602,602671,620343,795485,717793,673800,569100,676504,618092,497689,814827,1255913,708406,744683,277741
"스리랑카","제조업",204311784,192696348,185434838,624949881,169844804,245258659,342881339,319615482,298453955,313048080,276924286,274485533,285863208,280758598,234166125,170984074,286371056,188933728,209573634,185204431,67031157
"스리랑카","폐수처리 및 자원재활용",14216,31254,1237,373781,2050,5191,11728,249,278,92139,0,185,120,0,35127,51,276,1626,0,0,0
"스웨덴","전산업",904361905,857824172,950046451,935038293,472105150,637649170,1042835213,788767594,872970973,871068378,699042833,804248908,895553004,1046595572,1070505062,921242052,1520456120,1416952676,1386710061,1366134436,423290854
"스웨덴","농림어업",-,154380,108792,388056,214636,184475,0,3774,2245,4902,960,4330,7750,16730,64686,99323,105828,40400,97733,86447,63464
"스웨덴","광업",0,1107,3046,118,0,2,465699,300769,1003,0,2467,0,2651,570,711,750,1671,10571,413,109,0
"스웨덴","제조업",903480842,856219932,947496418,933555748,471755049,636925511,1042305452,788245406,872670214,870793921,698982322,804204720,895376693,1046392081,1070424204,920848076,1520218413,1416592817,1386066329,1366033076,422462184
"스웨덴","폐수처리 및 자원재활용",881063,1448753,2438195,1094371,135465,539182,64062,217645,297511,269555,57084,39858,165910,186191,15461,293903,130208,308888,545586,14804,765206
"스위스","전산업",576042347,840244711,483803577,399058318,341403504,369501315,1130413647,401765565,872191677,313642555,1485217772,557751118,487974598,496532086,588666248,715874572,855443630,974268527,1124687401,1160741462,488799774
"스위스","농림어업",162923,176200,4957,51744,102787,96464,88135,73331,263541,92222,118528,227166,83306,107699,129456,78438,72677,48580,16689,31620,3746
"스위스","광업",31184,16287,58961,6811,21626,1006273,2476770,150131,55824,111626,119540,187853,75825,101074,147719,76528,84942,335578,2896021,16618393,4367
"스위스","제조업",575255645,839703050,483485859,398800820,341170542,368180729,1127680789,401390505,871772628,313298337,1484883446,557254423,487805172,496267287,588346928,715700527,855277581,973872602,1121757859,1143941558,488791391
"스위스","폐수처리 및 자원재활용",592595,349174,253800,198943,108549,217849,167953,151598,99684,140370,96258,81676,10295,56026,42145,19079,8430,11767,16832,149891,270
"스페인","전산업",2867060987,3479242208,3924790317,3192485559,1737082196,1857955111,1856558213,1668337660,1682123219,2068471292,2171040467,2328644123,2790573048,3027371231,2769854024,2301057828,2846423028,3235876083,3336623365,3390174439,1189633569
"스페인","농림어업",452118,633719,651809,554001,881139,1214476,1706612,1784246,1772692,1301179,1236462,1149019,1315133,1781555,1939936,1510289,2300624,2207024,2772088,2835901,924171
"스페인","광업",0,53496,66242,48202,78938,303972,708610,127417,11549,10441,32307,27115,43733,836542,48576,37706,61396,41214,73885,41675,26384
"스페인","제조업",2866463713,3478139972,3923150685,3191514936,1734878457,1847946452,1848166428,1666403007,1680338978,2067159672,2169771187,2327448885,2788872134,3024750794,2767344945,2297165001,2843774978,3233318171,3330182872,3386966969,1188678494
"스페인","폐수처리 및 자원재활용",145156,415021,921581,368420,1243662,8490211,5976563,22990,0,0,511,19104,342048,2340,520567,2344832,286030,309674,3594520,329894,4520
"슬로바키아","전산업",691726459,1267058694,2706890322,3462394721,3136915805,4424074574,4103422360,4624495769,4406986420,4298747953,3543446835,2926364837,2772780157,2719312671,2314661644,2210877560,2836046898,2848560707,2975721213,2813376952,873221319
"슬로바키아","농림어업",0,0,0,0,4916,12387,16373,16956,22179,72159,29894,37271,20521,3596,52733,56404,39939,49081,21512,13443,0
"슬로바키아","광업",0,643,0,0,2032,231,5023,943,11147,16370,11898,4188,3969,10012,1480,2415,1361,2259,661,1000,358
"슬로바키아","제조업",691701436,1267025057,2706759128,3462349812,3136906174,4424056680,4103358056,4624474038,4406948284,4298584785,3543405043,2926323366,2772716516,2719282689,2314593438,2210796481,2835964187,2848469809,2975647877,2813344537,873216071
"슬로바키아","폐수처리 및 자원재활용",25023,32994,131194,44909,2683,5276,42908,3832,4810,74639,0,12,39151,16374,13993,22260,41411,39558,51163,17972,4890
"싱가폴","전산업",7406634283,9489299821,11949490888,16292971228,13616993907,15244201577,20839004711,22887919019,22289027938,23749882578,15011163932,12458894209,11651939245,11782182369,12768033732,9828387645,14148511421,20205409571,18751990144,18224212227,6173911165
"싱가폴","농림어업",1877517,2915632,3209872,6748700,14457902,18188438,15017911,13860392,16527313,18246336,18196841,16740642,18832067,18783082,22430816,23731413,25135587,20665864,26718244,27111269,17133573
"싱가폴","광업",1670447,1247123,1609553,1751146,2057806,2613915,2261824,3480852,1704639,1574218,1916265,731554,565788,587884,371077,449189,2715775,3405858,3014965,19846073,2373957
"싱가폴","제조업",7396079628,9476633517,11931487131,16276792577,13593479199,15189357747,20807146418,22855977678,22259835419,23716845337,14983453883,12438719546,11629113887,11748761111,12733051343,9793651852,14105047917,20171351319,18717433688,18171585651,6152535147
"싱가폴","폐수처리 및 자원재활용",7006691,8503549,13184332,7678805,6999000,34041477,14578558,14600097,10960567,13216687,7596943,2702467,3427503,14050292,12180496,10555191,15612142,9986530,4823247,5669234,1868488
"아랍에미리트 연합국","전산업",2732731531,2895994261,3704742819,5748540173,4977750867,5487046921,7267754322,6861716137,5737664045,7211628091,6076775019,5869962292,5388883443,4588471959,3469771905,3653610995,3974772102,3966846480,4432060562,5066713664,1767416068
"아랍에미리트 연합국","농림어업",55253,38329,72753,150806,317621,439635,565854,652969,779379,800175,671799,863745,692897,982497,1011371,1021576,1007165,1350591,2495896,3064017,1174522
"아랍에미리트 연합국","광업",350969,1111202,1032300,2266863,720453,794886,504911,429200,393614,561313,516349,765970,271358,1341568,181727,282573,417684,4037762,493232,1050492,97417
"아랍에미리트 연합국","제조업",2732293776,2894248474,3702519928,5745797388,4975459145,5484305528,7265771069,6859785370,5736094203,7209650180,6074722675,5867576236,5387063335,4584127742,3465832579,3651937622,3972081766,3961216615,4426724112,5060092370,1766056406
"아랍에미리트 연합국","폐수처리 및 자원재활용",31533,596256,1117838,325116,1253648,1506872,912488,848598,396849,616423,864196,756341,855853,2020152,2746228,369224,1265487,241512,2347322,2506785,87723
"아르헨티나","전산업",309008422,330936576,489139800,578207443,494269164,909449461,1081071200,972906244,1074647149,753793322,1046850816,795651280,836174326,536361275,341475281,331740764,390620182,528689540,445475133,384882735,138344747
"아르헨티나","농림어업",8723,14355,13091,14249,23828,10648,45114,52939,163679,143745,214937,308255,328969,266234,158625,260999,281654,85337,216609,305051,94587
"아르헨티나","광업",42143,47884,92275,53609,38114,6331,76443,29600,13368,189,53080,380,2667,525,0,0,810,1794,2654,3600,0
"아르헨티나","제조업",308517158,330412482,488690005,577542615,493689648,909121419,1080688030,972508360,1074416446,753630243,1046576672,795342645,835834706,536094378,341316483,331471831,390337478,528590771,445163753,384531052,138193477
"아르헨티나","폐수처리 및 자원재활용",440398,461855,344429,596970,517574,311063,261613,315345,53656,19145,6127,0,7984,138,173,7934,240,11638,92117,43032,56683
"아일랜드","전산업",650850598,545263890,888194813,662815327,424335239,380774057,355678928,377639927,369071718,463122817,366316656,565101460,693158611,649569048,650050466,924098633,989738478,822781489,804549477,986210686,399120047
"아일랜드","농림어업",470,-,16,0,4449,12596,7152,0,678,937,1169,781,10532,1579,166,506,31141,10123,45048,26900,37357
"아일랜드","광업",999577,246556,0,23695,762,24082,43708,7236,0,7514,5429,0,2,64,3394,0,0,0,7357,982,164
"아일랜드","제조업",649850551,545014814,888194797,662790552,423472826,380734229,355626871,377632691,369071040,463114366,366307865,565098091,693148077,649567405,650046866,924098127,989707337,822771366,804497072,986182804,399082526
"아일랜드","폐수처리 및 자원재활용",0,2520,0,1080,857202,3150,1197,0,0,0,2193,2588,0,0,40,0,0,-,0,-,-
"에콰도르","전산업",344300509,386086264,428595244,626426176,438409544,887193844,886612322,856768191,919923740,811541780,641281538,434241246,608864603,781872832,479393920,377358448,761501912,770721654,768651656,516563046,114564136
"에콰도르","농림어업",26441,31900,15335,21200,6440,42612,15542,42019,35931,17100,25879,24507,32500,17628,46917,37116,40344,68970,29151,46867,57356
"에콰도르","광업",0,-,-,0,685,-,21909,540,1010,0,0,1835,-,18800,49726,27060,40479,94210,73838,60276,9166
"에콰도르","제조업",344273610,386054302,428577407,626401021,438402384,887144630,886568007,856723899,919886799,811524680,641211441,434214904,608832065,781836404,479297277,377294173,761421089,770532712,768548667,516455903,114497614
"에콰도르","폐수처리 및 자원재활용",458,62,2502,3955,35,6602,6864,1733,0,0,44218,0,38,0,0,99,0,25762,0,0,0
"영국","전산업",5338843552,5635118643,6870038157,5936153878,3796552620,5555093795,4969095033,4896879429,4727084808,5782609843,7390096509,6288402906,8121799697,6358760233,5514842216,4467373539,5962152997,6340999183,5958440373,6641956487,2127135133
"영국","농림어업",877378,181324,208125,618015,535198,1735251,2718947,3089380,2468954,2371563,1455958,630050,968661,666347,701598,758233,938145,527357,773677,802508,260956
"영국","광업",1334103,1228989,7455572,16143961,2936565,5609966,1444885,802438,426984,730334,394053,217061,240698,906534,137074,140090,128824,143667,110550,82406,46597
"영국","제조업",5334096619,5630018488,6858249989,5912852879,3788642318,5527199882,4950877311,4887471495,4719883907,5770016890,7382574381,6282115543,8114050994,6351769146,5508825431,4464529837,5957634475,6331498941,5950931975,6634220098,2126195280
"영국","폐수처리 및 자원재활용",2535452,3689842,4124471,6539023,4438539,20548696,14053890,5516116,4304963,9491056,5672117,5440252,6539344,5418206,5178113,1945379,3451553,8829218,6624171,6851475,632300
"오만","전산업",304309879,344323010,542442769,888589805,530595425,664097172,906983455,923589719,1007008340,1171638635,939410104,615571913,641218246,674885469,643227832,612765093,387624747,350965823,503185201,631160622,194938175
"오만","농림어업",1406,-,0,962,1738,0,19490,18480,15244,17340,28781,27102,29044,50473,11871,61563,64761,7444,26693,16398,5970
"오만","광업",0,0,0,0,0,0,0,11515,0,49951,11631,604,0,85664,11415,301,776,18053,2859,51534,0
"오만","제조업",304308473,344323010,542442769,888588843,530593687,664097172,906963965,923559724,1006993096,1171571344,939369692,615543802,641189202,674746396,643081045,612688985,387559210,350940326,503098802,631091670,194932205
"오만","폐수처리 및 자원재활용",-,-,-,-,-,-,0,0,0,0,0,405,0,2936,123501,14244,0,0,56847,1020,-
"오스트리아","전산업",970511574,886632238,770672058,661498970,643019568,951754490,838489595,838481197,606904346,937825767,882326284,840045801,959363501,1077184443,864802465,1065982784,1300632420,1421087269,1027243106,1419812389,350358953
"오스트리아","농림어업",19861,21476,2817,28197,13372,9225,67989,157164,142909,139832,95376,293810,201688,193395,167813,161247,205535,67283,137643,145827,41305
"오스트리아","광업",422280,282662,3121,871,318,141292,498513,374344,284668,239140,269350,279007,333840,259705,218511,231395,225440,161342,167321,144260,56460
"오스트리아","제조업",970068333,885608841,770646647,661466822,642968752,951603973,837923093,837833061,606159364,937446245,880573174,837984126,956212299,1076035548,864413530,1065573574,1300063249,1420849355,1026912125,1419310560,350260252
"오스트리아","폐수처리 및 자원재활용",1100,719259,19473,3080,37126,0,0,116628,317405,550,1388384,1488858,2615674,695795,2611,16568,138196,9289,26017,211742,936
"온두라스","전산업",119650216,138906985,131583970,130728669,80616954,106253180,136635726,156403733,124047777,114903927,117100649,117049164,125870439,117597288,125282389,107745120,135446065,141352033,163527813,185697366,44394998
"온두라스","농림어업",-,95567,-,0,0,-,-,726,-,0,3000,1431,1100,0,-,-,29,43324,9142,24024,8199
"온두라스","광업",1801,0,45048,0,-,0,0,0,0,16975,61842,20227,41657,32347,0,0,0,0,464,0,-
"온두라스","제조업",119648415,138811418,131538922,130728669,80616954,106253180,136635726,156403007,124047777,114886952,117035807,117027506,125827682,117563083,125282389,107745120,135446036,141308709,163516737,185673342,44386799
"온두라스","폐수처리 및 자원재활용",0,-,0,0,0,0,0,0,0,0,0,0,0,1858,0,0,0,0,1470,0,0
"요르단","전산업",467809118,359081373,386494538,734086580,1018639114,1266219982,1224001857,1395545836,1316642872,1383379255,849127216,619985266,647896425,520142909,531208023,469685909,668911030,821769108,758796327,546846288,235731279
"요르단","농림어업",423,4433,2144,461,0,7866,11675,17300,53500,39144,834,6953,43510,35098,88889,139587,107172,34911,109103,123631,23795
"요르단","광업",8912,0,0,0,0,0,35,0,29,0,14,0,0,356,197,1480,0,0,0,26583,-
"요르단","제조업",467797592,359072349,386487588,734082183,1018615223,1266201430,1223989079,1395528536,1316589343,1383340111,849126368,619978313,647705506,520107455,531118937,469544842,668803858,821734197,758687224,546696074,235707484
"요르단","폐수처리 및 자원재활용",2191,4591,4806,3936,23891,10686,1068,0,0,0,0,0,147409,0,0,0,0,0,0,0,0
"우루과이","전산업",57073067,54236998,71637248,98999955,64429565,159177747,217060569,183992181,385919034,255319900,192795467,100384280,115477660,121974169,121278195,75139794,134029984,152393122,136700158,163936121,44810792
"우루과이","농림어업",397,0,0,0,558,5250,11075,23300,15006,14176,525,13024,8150,7310,3600,0,4016,2680,103217,52561,166
"우루과이","광업",-,-,-,0,0,-,15936,0,0,12,0,1445,0,-,0,0,0,0,0,0,-
"우루과이","제조업",57066872,54198319,71631797,98991835,64419640,159153371,217013703,183945007,385904028,255305712,192794942,100369811,115469510,121966814,121274467,75139794,134025938,152390442,136596941,163883560,44810626
"우루과이","폐수처리 및 자원재활용",5798,38679,5451,8120,9367,19126,19855,23874,0,0,0,0,0,45,128,0,30,0,-,0,0
"우크라이나","전산업",686744629,884479661,1546188874,1773293710,426434627,714220913,1022530575,1149468008,634595606,338808665,194366835,222246882,258559627,341333318,348735564,393855930,581488300,216928396,374509551,374211475,170870793
"우크라이나","농림어업",0,0,16,5405,26660,49540,61714,26230,64328,57516,182096,195904,313624,271432,478376,490039,598059,244572,465880,258812,300277
"우크라이나","광업",2094,36597,0,0,0,0,0,0,216,0,0,0,100,289554,52568,40318,94490,50220,129688,160353,98875
"우크라이나","제조업",686715478,884423659,1546171981,1773241001,426315056,714124659,1022387031,1149380764,634431709,338701810,194184727,222050978,257786671,338447075,348080798,393291065,580795751,216633604,373913983,373792310,170471641
"우크라이나","폐수처리 및 자원재활용",27057,19405,16877,47304,92911,46714,81830,61014,99353,49339,12,0,459232,2325257,123822,34508,0,0,0,0,0
"이란","전산업",2141180291,2559312669,3265621432,4342555110,3991897434,4596720961,6068275858,6256524545,4480901930,4162242910,3730937781,3716566554,4021060772,2294784340,282001852,186342324,177469063,195461440,183314167,157623536,55651602
"이란","농림어업",2300,0,1008,1737,12886,121605,257667,4316010,207454,904726,913127,732149,588482,603843,1273500,66048,448297,81581,138434,127497,11300
"이란","광업",85695,66946,66513,169223,56862,344158,288704,101045,213586,287253,214476,185077,437903,128143,102455,97208,133200,122943,57231,133552,0
"이란","제조업",2140964032,2558843973,3264769974,4342144709,3991410492,4596111518,6067650891,6252043328,4480305393,4160668224,3729540794,3715618896,4019963501,2294037718,280603702,186175923,176873231,195256909,183118409,157362487,55640302
"이란","폐수처리 및 자원재활용",128264,401750,783937,239441,417194,143680,78596,64162,175497,382707,269384,30432,70886,14636,22195,3145,14335,7,93,-,-
"이스라엘","전산업",849778319,746127091,969774102,1010538518,725817934,1059431562,1817867193,1532297162,1464115617,1224845267,1179523291,1274743049,1268292813,1448112345,1426746516,1424646455,1824092635,2121809227,1913665821,1821086153,798553350
"이스라엘","농림어업",0,0,6222,3180,6860,90997,84735,92026,65287,108663,77174,70101,87951,104035,160028,123579,191961,260906,160665,135510,45677
"이스라엘","광업",386764,579514,903630,1260027,558993,198900,85179,1635,30936,52869,36579,35519,52334,51436,527901,30481,85537,85443,597231,563454,123860
"이스라엘","제조업",849157454,745316972,968579742,1009058903,725105613,1058773675,1817487026,1532003074,1463709952,1224422962,1179267610,1274346089,1267450433,1445409276,1424403882,1424330338,1823807705,2121460162,1912902493,1820384473,798383013
"이스라엘","폐수처리 및 자원재활용",234101,230605,284508,216408,146468,367990,210253,200427,309442,260773,141928,291340,702095,2547598,1654705,162057,7432,2716,5432,2716,800
"이집트","전산업",706794918,853226857,1166579316,1548323686,1528199452,2240439083,1726873970,1806969910,1534529262,2363828360,2178930907,1768981480,1324894256,1846769231,1573207413,1215173053,1681639929,1468077085,1334900604,1366405172,441367386
"이집트","농림어업",7606,8991,48255,154376,271619,433610,399089,686694,763692,1051644,972987,1663729,1870496,2011338,2255579,1171723,2061451,2608985,2061586,2300486,367000
"이집트","광업",345,2226,0,0,60,47,17960,10342,33843,757,137602,9675,29184,43102,13699,25402,45234,15472,13890,8844,235
"이집트","제조업",706600647,853158777,1166530731,1548157707,1527914414,2239953147,1726313292,1806225624,1533727703,2362774059,2177803392,1767308076,1322918919,1844653193,1570931252,1213968198,1679327619,1465425650,1332758037,1364095726,440975860
"이집트","폐수처리 및 자원재활용",186320,56863,330,11603,13359,52279,143629,47250,4024,1900,16926,0,75657,61598,6883,7730,205625,26978,67091,116,24291
"이탈리아","전산업",4296944705,4286258944,4151400502,3545580239,2797342198,3569134728,4107495086,3261663429,3125722004,3473075724,3531214215,3163432702,3757902982,4493007672,3773364659,3221111243,4597178783,5134155352,5015820735,4972126423,1526540133
"이탈리아","농림어업",212732,397875,901265,762720,1350548,618831,993168,1351800,1385673,677386,331199,658665,377359,333206,457432,529853,487723,1131436,967118,1279115,954965
"이탈리아","광업",187885,135001,40746,122893,600103,1571084,1469075,2590622,1569771,970139,4222696,927855,962674,666648,193672,73756,116061,241568,2028208,78297,319018
"이탈리아","제조업",4296095640,4284971628,4149759269,3543945986,2794799308,3565810674,4103488644,3255589808,3121805738,3470248989,3526524398,3161713641,3756554931,4491805808,3772616804,3220311687,4596554419,5132769423,5012005517,4970724456,1525234603
"이탈리아","폐수처리 및 자원재활용",448448,754440,699222,748640,592239,1134139,1544199,2131199,960822,1179210,135922,132541,8018,202010,96751,195947,20580,12925,819892,44555,31547
"인도","전산업",4597836936,5532796951,6600039271,8977063369,8013290490,11434595882,12654077898,11922036714,11375792016,12782490240,12029586750,11596285799,15055543115,15606220856,15096301606,11937316362,15603258144,18870070779,17949601984,18696052167,6269653122
"인도","농림어업",2271051,2365262,2080409,2702044,3556674,2761094,3927280,4372376,4716472,4861879,6271262,7684200,9179736,5979030,6456717,6842817,7456716,7701587,8284600,5525158,2778185
"인도","광업",28161180,12138378,18547515,37491715,3728827,9573504,20231262,16449659,15874489,11467368,7117654,8991089,14814778,9584382,6753158,4704521,2029928,5049433,3802551,3339322,3669230
"인도","제조업",4565170328,5502005798,6554630837,8896470320,7987761857,11342383591,12554409500,11854422954,11314752012,12700406777,11924726134,11508048081,14941768508,15496427329,14995290373,11850999613,15404039153,18739486268,17774430803,18536189339,6193924993
"인도","폐수처리 및 자원재활용",2234377,16287513,24780510,40399290,18243132,79877693,75509856,46791725,40449043,65754216,91471700,71562429,89780093,94230115,87801358,74769411,189732347,117833491,163084030,150998348,69280714
"인도네시아","전산업",5045582258,4873522777,5770618485,7933617077,5999880113,8897299143,13564497794,13955029555,11568177927,11360656311,7872404447,6608530322,8403680215,8833194925,7650050893,6312901249,8550335243,10215898789,9140239037,7948251110,2472362700
"인도네시아","농림어업",4193479,7398522,6737083,9727560,5345687,7791062,10704722,20851236,29624528,30913121,11126245,10911932,7183854,7526224,6425479,4478885,6218577,7895502,9289815,11505854,3563850
"인도네시아","광업",2792578,3353946,4459128,3551430,3572112,4223112,5020275,5706311,7363715,8472520,6151454,7090556,10158624,14270474,12804496,8079536,13839697,14992551,14431622,12297609,4913045
"인도네시아","제조업",5036673736,4861056614,5757440211,7915829002,5989792328,8880773703,13546810682,13927039294,11529512001,11316970583,7849582524,6587559363,8380032613,8801290093,7624897961,6292237156,8519158982,10190891772,9114343608,7921454543,2463481409
"인도네시아","폐수처리 및 자원재활용",1922465,1713695,1982063,4509085,1169986,4511266,1962115,1432714,1677683,4300087,5544224,2968471,6305124,10108134,5922957,8105672,11117987,2118964,2173992,2993104,404396
"일본","전산업",24027437891,26534015119,26370190640,28252470471,21770838702,28176281127,39679706337,38796057015,34662290154,32183787651,25576507244,24355036447,26816141117,30528580377,28420213397,25097651231,30061806488,30606277802,29000616246,29607165788,9106172973
"일본","농림어업",244915759,194451130,190120091,198406342,233279399,277829336,279793143,289122559,243796936,215046225,194868650,218428258,209827331,209607810,196128212,179400753,176176098,165879612,159308006,139313537,40232960
"일본","광업",26581068,67201305,52487723,65483951,35739649,73387746,97014912,99180234,72445222,90278137,56264527,49145079,46080983,63025516,48302056,35655933,113764886,69567956,77379954,117905234,50429495
"일본","제조업",23609841972,26048240507,25795945074,27697084192,21329796962,27494411785,39003319071,38223735645,34164529736,31649642551,25164633981,23942989831,26382685210,30061878386,28045859908,24796059317,29582786612,30144180284,28601023405,29187609171,8966347038
"일본","전기가스증기수도",-,-,-,-,-,-,-,-,-,-,-,-,1542,-,-,-,-,-,-,-,-
"일본","폐수처리 및 자원재활용",146099092,224122177,331637752,291495986,172022692,330652260,299579211,184018577,181518260,228820738,160740086,144473279,177546051,194068665,129923221,86535228,189078892,226649950,162904881,162337846,49163480
"중국","전산업",61914983289,69459178402,81985182735,91388899922,86703245287,116837833747,134185008617,134322564041,145869498252,145287701080,137123933997,124432941207,142119999512,162125055094,136202532975,132565444470,162912974235,155789388721,124817682502,133011386806,39659916417
"중국","농림어업",60254110,55766213,57685275,61579436,57660490,74393568,105112833,96866675,114946409,88445335,69400918,55862876,68274777,79361494,86665513,73379603,87129967,81177217,83405107,93375374,26933901
"중국","광업",36596156,39124121,76185579,133952763,56053584,104780276,222687716,182849999,147418689,179721096,245113646,144133947,241860500,377702919,385198099,474862579,1390396837,1866066997,1706131088,855177115,184986555
"중국","제조업",61481195315,68916834189,81307470086,90581929594,85995057141,116144003004,133303661688,133512160959,145252081562,144703310699,136558492237,124025491455,138270402418,158964716610,135604102511,131926686596,161225821790,153620125594,122801310633,131710900117,39321511348
"중국","전기가스증기수도",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1800,-,-
"중국","폐수처리 및 자원재활용",336937708,447453879,543841795,611438129,594474072,514656899,553546380,530686408,355051592,316223950,250927196,207452929,3539461817,2703274071,126566852,90515692,209625641,222018913,226833874,351934200,126484613
"체코","전산업",338790767,564041829,966072299,828958870,771464981,1164700036,1712590849,1785529700,1682861691,1812359149,2040471506,2175831331,2211934130,2451643201,2114044300,2693679983,2953827197,3150394647,3116805104,3329579303,1218396713
"체코","농림어업",19079,26030,9444,23541,9025,29195,37011,61837,50259,88803,86348,54719,95924,146658,149513,174999,114091,282508,56276,130791,62665
"체코","광업",0,5640,787,519,7918,36954,11275,25959,545515,22297,20837,23276,9991,27675,65122,26865,33183,58979,17348,89957,31601
"체코","제조업",338770382,563926147,965993582,828898931,771310521,1164256147,1712274933,1785348223,1682263889,1811256880,2039474816,2175010840,2211153754,2451283133,2113654722,2693330097,2953444352,3149897378,3116520850,3329083020,1218165049
"체코","폐수처리 및 자원재활용",1306,84012,68486,35879,137517,377740,267630,93681,2028,991169,889505,742496,674461,185735,174943,148022,235571,155782,210630,275535,137398
"칠레","전산업",1151001105,1566130898,3115103288,3031842644,2229062039,2947053686,2381457431,2469336739,2458197822,2083323493,1742341800,1611306235,1530001543,1807483506,1214355762,866535817,1574181935,1510396889,1246374320,1480356392,538210837
"칠레","농림어업",19797,69947,98497,67771,141014,88036,147342,730162,202451,407082,109763,375511,186031,312249,343598,392038,584796,318487,279861,234319,36647
"칠레","광업",58,0,13,0,0,1337156,632957,255468,39054,31143,96510,61120,127862,172003,77725,59077,126515,232123,130681,149746,19066
"칠레","제조업",1150978777,1566058161,3114998670,3031717536,2228716567,2945544712,2380578395,2468224274,2457956317,2082885184,1742129860,1610869408,1529687389,1806999102,1213932366,866084129,1573469822,1509798136,1245892980,1479944147,538155124
"칠레","폐수처리 및 자원재활용",2473,2790,6108,57337,204458,83782,98737,126835,0,84,5667,196,261,152,2073,573,802,48143,70798,28180,0
"카메룬","전산업",13351534,11418255,24954401,44169028,32288160,48174658,70050258,54101344,43558487,47878763,30811167,23842682,27251614,47061287,22804109,32280626,97992843,225930235,62224979,33501200,7775373
"카메룬","농림어업",-,0,0,0,0,0,0,-,0,0,16147,8,21080,0,0,0,53,0,1,84,-
"카메룬","광업",0,0,0,0,0,0,0,0,0,0,0,8350,19038,0,0,0,7600,0,0,0,0
"카메룬","제조업",13341460,11418255,24950401,44169028,32288160,48174658,70050258,54101344,43558487,47878763,30795020,23834324,27205796,47061121,22804109,32280626,97985190,225930235,62224978,33501116,7775373
"카메룬","폐수처리 및 자원재활용",10074,-,4000,0,0,0,0,-,-,-,0,-,5700,166,0,-,0,0,0,0,0
"카타르","전산업",521266042,760140579,1163468020,1901539692,1309887145,472665653,469004215,729926385,852067630,904485824,674062381,535701937,435462325,525977570,357290292,339096799,420151993,526565021,764248930,1490930106,287962213
"카타르","농림어업",3971,10652,14458,28746,54515,28501,12625,15795,15627,25458,35041,49824,36865,49805,23638,83542,36567,37643,94980,123147,68072
"카타르","광업",3360,5524,0,0,0,8677,53841,27023,13674,1574,4083,2062,1459,4265,668,6501,11700,1526,19090,7474,15
"카타르","제조업",521258236,760124403,1163453562,1901510946,1309832630,472628475,468934473,729883567,852034580,904455936,673832798,535647148,435420015,525917286,357220231,338961545,420103703,526525852,764134790,1490799485,287894126
"카타르","폐수처리 및 자원재활용",475,-,-,0,0,0,3276,0,3749,2856,190459,2903,3986,6214,45755,45211,23,0,70,0,0
"캐나다","전산업",3446220243,3620405334,3506423104,4057233567,3439569845,4101863820,4927656128,4828115968,5202855196,4916629388,4623244375,4884917217,4717661470,5743231412,5567589444,5463996412,6714456925,7839260692,8434491158,10351506013,3337823098
"캐나다","농림어업",4671312,2951825,4069290,4260147,6499465,6435609,8568590,10165433,11758587,13475508,11116802,11600241,13118267,15582224,15704194,15697446,14887674,11746619,14837035,15025895,2675734
"캐나다","광업",127817,73474,63073,191504,519259,649068,531394,844952,974997,1234080,574773,483741,346368,544113,678124,726564,901014,844401,817412,660613,111339
"캐나다","제조업",3440951224,3617074348,3501927776,4052434965,3432240319,4094525671,4918297972,4816846970,5190051056,4901801827,4611532972,4872773543,4704082172,5726963757,5551063783,5447518939,6698658806,7826505120,8418449102,10335661829,3334596307
"캐나다","폐수처리 및 자원재활용",469890,305687,362965,346951,310802,253472,258172,258613,70556,117973,19828,59692,114663,141318,143343,53463,9431,164552,387609,157676,439718
"케냐","전산업",71038885,204857732,136741656,156363761,164652827,232687416,214946721,262966044,258047096,344519621,256531248,162321838,204940293,239590640,151121666,220227766,258419285,456604344,269981297,173142079,64628443
"케냐","농림어업",10500,0,16,291,1666,0,8284,0,8000,30118,35597,33895,3474,69333,68315,125196,147512,241369,403996,332246,139420
"케냐","광업",8756,-,2366,1954,12326,20881,10914,41602,14218,27582,7926,5460,7109,159,11684,199,8094,50125,127065,49746,32120
"케냐","제조업",71019629,204709534,136521714,156220384,164599184,232666535,214927523,262924442,258024878,344461921,256487725,162282483,204929710,239521148,151041667,220102371,258263679,456312850,269170727,172748087,64456903
