"시점",전산업생산지수
"2012.04",88.2
"2012.05",89.3
"2012.06",88.2
"2012.07",88.7
"2012.08",87.7
"2012.09",88.5
"2012.10",88.7
"2012.11",89.2
"2012.12",89.1
"2013.01",89.7
"2013.02",90.5
"2013.03",89.0
"2013.04",90.3
"2013.05",90.1
"2013.06",89.6
"2013.07",89.5
"2013.08",90.3
"2013.09",89.6
"2013.10",91.1
"2013.11",90.7
"2013.12",90.2
"2014.01",92.0
"2014.02",91.5
"2014.03",91.6
"2014.04",91.8
"2014.05",90.8
"2014.06",91.9
"2014.07",92.3
"2014.08",91.4
"2014.09",90.5
"2014.10",91.4
"2014.11",91.3
"2014.12",91.5
"2015.01",91.5
"2015.02",92.8
"2015.03",92.1
"2015.04",92.9
"2015.05",91.6
"2015.06",92.2
"2015.07",92.4
"2015.08",93.8
"2015.09",95.0
"2015.10",94.3
"2015.11",93.9
"2015.12",94.6
"2016.01",93.5
"2016.02",94.6
"2016.03",95.2
"2016.04",94.8
"2016.05",96.0
"2016.06",96.4
"2016.07",95.9
"2016.08",96.3
"2016.09",96.4
"2016.10",95.8
"2016.11",97.4
"2016.12",97.3
"2017.01",97.7
"2017.02",97.9
"2017.03",99.0
"2017.04",98.1
"2017.05",98.4
"2017.06",98.1
"2017.07",98.4
"2017.08",98.7
"2017.09",100.4
"2017.10",98.5
"2017.11",99.3
"2017.12",98.7
"2018.01",99.6
"2018.02",100.2
"2018.03",99.0
"2018.04",100.6
"2018.05",100.6
"2018.06",100.3
"2018.07",101.1
"2018.08",101.1
"2018.09",100.3
"2018.10",101.1
"2018.11",99.8
"2018.12",99.2
"2019.01",100.7
"2019.02",98.0
"2019.03",99.2
"2019.04",101.0
"2019.05",101.0
"2019.06",99.8
"2019.07",101.8
"2019.08",101.8
"2019.09",101.7
"2019.10",102.0
"2019.11",101.9
"2019.12",103.1
"2020.01",103.4
"2020.02",100.4
"2020.03",98.6
"2020.04",97.2
"2020.05",95.9
"2020.06",98.6
"2020.07",99.8
"2020.08",99.6
"2020.09",101.4
"2020.10",101.3
"2020.11",102.2
"2020.12",101.5
"2021.01",101.6
"2021.02",103.7
"2021.03",104.5
"2021.04",104.1
"2021.05",104.2
"2021.06",105.0
"2021.07",105.2
"2021.08",105.1
"2021.09",106.3
"2021.10",106.7
"2021.11",108.0
"2021.12",109.6
"2022.01",110.0
"2022.02",108.2
"2022.03",110.0
"2022.04",110.7
"2022.05",110.7
"2022.06",111.2
"2022.07",111.9
"2022.08",111.0
"2022.09",110.9
"2022.10",110.1
"2022.11",111.0
"2022.12",109.5
"2023.01",108.7
"2023.02",110.6
"2023.03",111.6
"2023.04",110.1
"2023.05",111.9
"2023.06",111.9
"2023.07",111.1
"2023.08",112.6
"2023.09",114.0
"2023.10",112.8
"2023.11",113.5
"2023.12",113.1
"2024.01",113.3
"2024.02",114.6
"2024.03",112.7
"2024.04",114.1
"2024.05",113.3
"2024.06",113.1
"2024.07",112.4
"2024.08",113.5
"2024.09",113.2
"2024.10",113.8
"2024.11",112.4
"2024.12",114.4
"2025.01",112.6
"2025.02",113.4
"2025.03",114.6
"2025.04",113.8
"2025.05 p)",112.5
"2025.06 p)",113.8
