"시점","재별 및 상품군별",계절조정지수
"2013.12","내구재",64.7
"2014.01","내구재",69.8
"2014.02","내구재",70.5
"2014.03","내구재",65.9
"2014.04","내구재",65.5
"2014.05","내구재",68.1
"2014.06","내구재",70.1
"2014.07","내구재",69.7
"2014.08","내구재",68.4
"2014.09","내구재",72.7
"2014.10","내구재",65.6
"2014.11","내구재",70.9
"2014.12","내구재",73.4
"2015.01","내구재",75.2
"2015.02","내구재",74.3
"2015.03","내구재",73.3
"2015.04","내구재",72.6
"2015.05","내구재",73.7
"2015.06","내구재",74.1
"2015.07","내구재",74.2
"2015.08","내구재",74.4
"2015.09","내구재",76.3
"2015.10","내구재",81.2
"2015.11","내구재",80.1
"2015.12","내구재",83.7
"2016.01","내구재",75.5
"2016.02","내구재",78.0
"2016.03","내구재",81.7
"2016.04","내구재",79.2
"2016.05","내구재",81.5
"2016.06","내구재",84.2
"2016.07","내구재",75.5
"2016.08","내구재",76.0
"2016.09","내구재",76.0
"2016.10","내구재",81.0
"2016.11","내구재",80.6
"2016.12","내구재",84.1
"2017.01","내구재",79.8
"2017.02","내구재",82.4
"2017.03","내구재",82.7
"2017.04","내구재",84.1
"2017.05","내구재",84.3
"2017.06","내구재",85.1
"2017.07","내구재",83.7
"2017.08","내구재",81.0
"2017.09","내구재",85.9
"2017.10","내구재",83.6
"2017.11","내구재",89.7
"2017.12","내구재",85.2
"2018.01","내구재",87.4
"2018.02","내구재",89.0
"2018.03","내구재",91.7
"2018.04","내구재",91.7
"2018.05","내구재",88.7
"2018.06","내구재",87.9
"2018.07","내구재",88.1
"2018.08","내구재",89.2
"2018.09","내구재",83.9
"2018.10","내구재",87.8
"2018.11","내구재",90.0
"2018.12","내구재",88.5
"2019.01","내구재",87.2
"2019.02","내구재",86.1
"2019.03","내구재",92.7
"2019.04","내구재",89.4
"2019.05","내구재",89.4
"2019.06","내구재",87.4
"2019.07","내구재",85.4
"2019.08","내구재",91.0
"2019.09","내구재",92.3
"2019.10","내구재",91.2
"2019.11","내구재",94.8
"2019.12","내구재",97.8
"2020.01","내구재",92.3
"2020.02","내구재",84.4
"2020.03","내구재",94.9
"2020.04","내구재",98.0
"2020.05","내구재",102.7
"2020.06","내구재",108.5
"2020.07","내구재",95.4
"2020.08","내구재",105.7
"2020.09","내구재",102.7
"2020.10","내구재",105.4
"2020.11","내구재",105.7
"2020.12","내구재",104.3
"2021.01","내구재",111.2
"2021.02","내구재",105.6
"2021.03","내구재",107.2
"2021.04","내구재",106.9
"2021.05","내구재",106.6
"2021.06","내구재",106.5
"2021.07","내구재",106.3
"2021.08","내구재",107.8
"2021.09","내구재",102.3
"2021.10","내구재",108.5
"2021.11","내구재",103.7
"2021.12","내구재",107.4
"2022.01","내구재",102.3
"2022.02","내구재",109.8
"2022.03","내구재",103.8
"2022.04","내구재",102.7
"2022.05","내구재",102.4
"2022.06","내구재",99.4
"2022.07","내구재",99.3
"2022.08","내구재",105.7
"2022.09","내구재",104.0
"2022.10","내구재",106.6
"2022.11","내구재",103.3
"2022.12","내구재",101.1
"2023.01","내구재",99.3
"2023.02","내구재",106.8
"2023.03","내구재",102.1
"2023.04","내구재",100.0
"2023.05","내구재",101.1
"2023.06","내구재",105.3
"2023.07","내구재",99.0
"2023.08","내구재",104.8
"2023.09","내구재",96.9
"2023.10","내구재",103.4
"2023.11","내구재",103.5
"2023.12","내구재",102.2
"2024.01","내구재",101.1
"2024.02","내구재",98.4
"2024.03","내구재",96.8
"2024.04","내구재",95.2
"2024.05","내구재",95.7
"2024.06","내구재",95.8
"2024.07","내구재",99.0
"2024.08","내구재",97.4
"2024.09","내구재",103.3
"2024.10","내구재",100.6
"2024.11","내구재",97.3
"2024.12","내구재",95.1
"2025.01","내구재",97.2
"2025.02","내구재",110.6
"2025.03","내구재",100.7
"2025.04","내구재",99.1
"2025.05 p)","내구재",100.5
"2025.06 p)","내구재",98.9
