"시점",전국,전국
"시점",제조업,제조업
"시점",생산자제품 출하지수(계절조정),생산자제품 재고지수(계절조정)
"1992.09",24.298,29.814
"1992.10",24.431,29.467
"1992.11",24.094,29.565
"1992.12",24.564,29.362
"1993.01",24.165,29.963
"1993.02",24.032,29.865
"1993.03",25.293,30.068
"1993.04",25.221,30.016
"1993.05",25.355,29.917
"1993.06",25.293,30.414
"1993.07",25.488,30.819
"1993.08",25.621,30.714
"1993.09",26.482,30.218
"1993.10",26.287,29.865
"1993.11",26.216,30.264
"1993.12",27.405,30.016
"1994.01",26.615,30.865
"1994.02",27.077,31.067
"1994.03",27.610,31.119
"1994.04",27.672,30.969
"1994.05",28.400,31.765
"1994.06",28.862,31.765
"1994.07",28.133,31.217
"1994.08",28.666,31.420
"1994.09",29.465,31.916
"1994.10",29.856,32.013
"1994.11",30.521,32.013
"1994.12",30.326,32.164
"1995.01",31.383,32.320
"1995.02",31.054,32.451
"1995.03",31.978,32.974
"1995.04",32.377,33.496
"1995.05",31.978,33.626
"1995.06",32.838,33.822
"1995.07",32.377,34.932
"1995.08",32.572,34.997
"1995.09",32.510,35.128
"1995.10",32.776,35.911
"1995.11",32.972,35.911
"1995.12",33.700,36.172
"1996.01",34.028,37.022
"1996.02",34.889,38.327
"1996.03",34.827,39.111
"1996.04",35.555,39.960
"1996.05",35.289,40.874
"1996.06",34.295,41.266
"1996.07",34.889,41.853
"1996.08",34.889,42.310
"1996.09",35.484,42.376
"1996.10",35.821,41.853
"1996.11",35.484,42.310
"1996.12",36.611,42.179
"1997.01",34.099,42.441
"1997.02",36.149,43.485
"1997.03",36.744,44.530
"1997.04",37.801,45.249
"1997.05",37.872,45.379
"1997.06",38.396,45.444
"1997.07",37.668,44.465
"1997.08",39.523,43.159
"1997.09",38.663,43.812
"1997.10",38.271,44.008
"1997.11",37.473,44.465
"1997.12",37.411,44.073
"1998.01",34.490,43.029
"1998.02",33.762,43.094
"1998.03",32.972,42.310
"1998.04",32.901,41.592
"1998.05",32.838,41.135
"1998.06",32.643,41.462
"1998.07",32.110,40.352
"1998.08",32.901,39.894
"1998.09",34.427,38.523
"1998.10",36.079,37.348
"1998.11",36.611,36.826
"1998.12",37.277,36.565
"1999.01",37.411,36.042
"1999.02",39.061,35.781
"1999.03",40.518,34.736
"1999.04",40.385,34.018
"1999.05",41.707,34.149
"1999.06",41.840,34.997
"1999.07",43.429,34.671
"1999.08",43.101,34.932
"1999.09",45.223,35.455
"1999.10",45.951,35.716
"1999.11",48.002,35.977
"1999.12",47.407,37.282
"2000.01",48.996,38.215
"2000.02",49.395,38.614
"2000.03",49.395,39.411
"2000.04",49.057,38.497
"2000.05",50.514,38.876
"2000.06",50.123,39.176
"2000.07",52.103,39.352
"2000.08",52.902,39.272
"2000.09",51.508,39.770
"2000.10",50.514,40.787
"2000.11",49.652,41.529
"2000.12",49.652,41.960
"2001.01",49.919,43.094
"2001.02",49.529,43.675
"2001.03",49.919,43.901
"2001.04",50.186,43.827
"2001.05",50.718,43.829
"2001.06",50.913,43.675
"2001.07",49.857,43.259
"2001.08",51.179,42.699
"2001.09",51.046,42.697
"2001.10",51.713,42.500
"2001.11",51.908,42.143
"2001.12",50.451,42.142
"2002.01",52.440,41.581
"2002.02",54.162,40.916
"2002.03",54.687,40.063
"2002.04",54.757,40.497
"2002.05",54.358,39.931
"2002.06",52.964,41.122
"2002.07",54.358,41.271
"2002.08",55.085,42.018
"2002.09",55.414,41.313
"2002.10",55.619,41.503
"2002.11",56.214,41.450
"2002.12",56.674,41.936
"2003.01",55.814,42.372
"2003.02",56.009,43.439
