date,PC1,PC2,growth_index
2003-02-01,-1.3937438388816485,-0.8461875157290883,-0.9226015548798874
2003-03-01,-1.2415988373774933,-1.374871738887982,-0.9710785650901442
2003-04-01,-0.9980649196184486,-2.2892708884430917,-1.0650453747654949
2003-05-01,-1.095090488397435,-2.0001076729654343,-1.0456584737744898
2003-06-01,-1.0093395580691438,-2.2443370347682556,-1.0600703091952788
2003-07-01,-1.0301773741365605,-2.4045328645747017,-1.109307381799848
2003-08-01,-1.2981741748244355,-2.2922685361912225,-1.220655811454431
2003-09-01,-1.3615555663369836,-2.047483332143727,-1.194565237488936
2003-10-01,-1.454638190028233,-2.02177316410935,-1.2364302832905594
2003-11-01,-1.4247309695483679,-2.0733901928211185,-1.2333942668458966
2003-12-01,-1.477375251005157,-1.6914498997039236,-1.1688145972855546
2004-01-01,-1.4242503305676324,-1.0084024309520319,-0.9773137850024081
2004-02-01,-1.3189595110645433,-1.1752457670957477,-0.9630510783664507
2004-03-01,-1.3822037859248497,-1.350505079611363,-1.0377932475825389
2004-04-01,-1.603689813998988,-1.2291414641216714,-1.1229510152031397
2004-05-01,-1.9065951926459177,-1.1823806317413983,-1.2680515365134695
2004-06-01,-1.632695713699808,-1.3684010321936289,-1.1713744137524427
2004-07-01,-1.6311168446900546,-1.310443598055279,-1.1566369462812802
2004-08-01,-1.545626662668768,-0.9301790300378483,-1.0211668053657161
2004-09-01,-1.338127144014718,-1.0274981864646733,-0.9374516756127848
2004-10-01,-1.3106478501041237,-0.8557829476529673,-0.8820196449607745
2004-11-01,-1.314248902212166,-1.322073936549072,-0.9958910797763441
2004-12-01,-1.0562475491301322,-1.3475103402135795,-0.8688435419618881
2005-01-01,-1.5585647025895102,-1.499487479016739,-1.164604139112783
2005-02-01,-1.4420537087749832,-1.2759096664240162,-1.0507631967006175
2005-03-01,-1.5907304110966758,-0.7287686048750441,-0.9960624315615163
2005-04-01,-1.8362178680590395,-0.6584258257781077,-1.1058639286919123
2005-05-01,-1.6152172361555588,-0.7259184735109662,-1.0080157430564105
2005-06-01,-1.5425270499027286,-0.797080867911531,-0.9875940817198378
2005-07-01,-1.7683848603815122,-0.59904551804887,-1.0565900236422772
2005-08-01,-1.8440571499605434,-0.5313839776089309,-1.0793917663919383
2005-09-01,-1.7315089468146367,-0.23925082956700097,-0.9511276416700183
2005-10-01,-1.649163903421553,-0.226453973325387,-0.9055542068534204
2005-11-01,-1.7896490614672536,-0.1505875444079575,-0.9598357380857256
2005-12-01,-1.6326329096668055,-0.008039163449361886,-0.8445545207549159
2006-01-01,-1.6571501710367136,0.16790631588698357,-0.8149424044495424
2006-02-01,-1.317940531031962,0.23479892919672296,-0.6238028321727309
2006-03-01,-1.402121647283817,0.18222803205985272,-0.6798784479723371
2006-04-01,-1.4161082066546415,0.3299924887277468,-0.6516009709361505
2006-05-01,-1.411658444146696,0.5651736511267359,-0.5928089375298463
2006-06-01,-1.1107214305991397,0.2369265452651306,-0.5163432275127893
2006-07-01,-0.9882290949141791,0.5048615995586563,-0.38875969514255104
2006-08-01,-1.0202711922933674,0.5978715831211209,-0.3829540929500245
2006-09-01,-1.0641581183844748,0.3187624123234045,-0.4726525956321574
2006-10-01,-1.1438373918709697,0.2804969214376684,-0.5229682921999552
2006-11-01,-0.9628329172692164,0.10415812082740628,-0.471909780993104
2006-12-01,-0.5904419452146118,0.28186087766652873,-0.23702596356026295
2007-01-01,-0.6339244539894516,0.25639771776013554,-0.2655846445216936
2007-02-01,-0.6587960721524524,0.23608913983366772,-0.28329976094838216
2007-03-01,-0.6508783574816988,0.2045268594362211,-0.2867952464777172
2007-04-01,-0.7588155144934331,0.3650887946415686,-0.30393268712279964
2007-05-01,-1.021463275115799,0.8867704556389336,-0.3141697685477587
2007-06-01,-1.15747911688956,0.866558730766948,-0.3892246163085332
2007-07-01,-1.1601211971562237,1.0110513550571272,-0.35587806703335556
2007-08-01,-1.0603699735373384,0.8223021708781979,-0.349736663353025
2007-09-01,-1.019813697294809,0.9457494676731917,-0.2991504028713212
2007-10-01,-1.2472248292751467,1.2709823179479576,-0.3383925246147859
2007-11-01,-1.0651033000695664,1.423321192974564,-0.20780220918343223
2007-12-01,-0.8478579297726339,1.6074081658406953,-0.05145745722641626
2008-01-01,-1.0601553090215385,1.649327198281195,-0.15095709881444908
2008-02-01,-0.9919308697970355,1.2798093225392484,-0.20451151833687448
2008-03-01,-1.0880072087535273,1.667882545890274,-0.16087444702067438
2008-04-01,-0.9896021577200955,1.8875658223058924,-0.05731376946407862
2008-05-01,-1.058314896051187,2.4513519046705996,0.04265593397080247
2008-06-01,-1.0249415811537241,2.7992850932115667,0.1434611973490325
2008-07-01,-0.7970890557652234,2.688697513044023,0.23449342798055667
2008-08-01,-0.8235880565896605,1.7655928507781877,-0.0009321739651009242
2008-09-01,-0.9698976265217966,1.3544616106808325,-0.17520682453492914
2008-10-01,-1.0572625844800707,-0.11942315229436835,-0.5743550912464152
2008-11-01,-1.0702092389149696,-1.510588442860127,-0.9152241376837373
2008-12-01,-0.9023312011971661,-2.7900665654294334,-1.1359375768025475
2009-01-01,-0.6867468289406966,-3.788142061771431,-1.2644303301006028
2009-02-01,-1.797067180845239,-3.8875496305640325,-1.8613610704908221
2009-03-01,-1.7562839379924047,-3.7554268164057523,-1.8085736281564224
2009-04-01,-1.959864620787401,-2.957845390458331,-1.7220484973395658
2009-05-01,-2.2696487100301557,-2.339283748700308,-1.7333406535224656
2009-06-01,-2.269386031552728,-1.521608083375645,-1.5367822213887803
