date,y_spd,manu_ratio,bsi_inv_l,employ_l,durable_l,dubai_l
2003-02-01,0.41999999999999993,0.25415473700482316,4.590056548178043,4.087655574071304,3.616308761279101,3.407841924380824
2003-03-01,0.41999999999999993,0.24287696579960327,4.553876891600541,4.085976312551584,3.594568774642695,3.314913013065143
2003-04-01,0.4300000000000006,0.21591885146659529,4.48863636973214,4.0809215418899605,3.591817741270805,3.159550358783386
2003-05-01,0.41000000000000014,0.21743519828292301,4.51085950651685,4.0809215418899605,3.580737295494233,3.1912990570979662
2003-06-01,0.3899999999999997,0.23624177122814816,4.483002552013883,4.0809215418899605,3.5409593240373143,3.245322994883049
2003-07-01,0.5800000000000001,0.19088429122583062,4.483002552013883,4.084294226368599,3.543853682063679,3.2857865301508276
2003-08-01,0.6399999999999997,0.22835210228300928,4.4942386252808095,4.08260930600368,3.5667118201397288,3.327550841493857
2003-09-01,0.5199999999999996,0.26819580283943223,4.51085950651685,4.0809215418899605,3.6000482404073204,3.2308043957334744
2003-10-01,0.5899999999999999,0.30086419247548424,4.51085950651685,4.084294226368599,3.5779478934066544,3.306520334720247
2003-11-01,0.5800000000000001,0.30010542969114384,4.505349850705881,4.084294226368599,3.55820113047182,3.3105430133940246
2003-12-01,0.5599999999999996,0.3118401535276658,4.532599493153256,4.089332020398556,3.502549875922443,3.331489969237335
2004-01-01,0.54,0.3263702891963862,4.579852378003801,4.097672352314776,3.6270040503958487,3.369362658142137
2004-02-01,0.5999999999999996,0.30992804132312424,4.56954300834494,4.102643365036796,3.5779478934066544,3.3614165116503107
2004-03-01,0.6799999999999997,0.29308590383298005,4.5591262474866845,4.100989104940769,3.5524868292083815,3.4196919642983197
2004-04-01,0.71,0.3170586241148441,4.56954300834494,4.097672352314776,3.591817741270805,3.4541060373175574
2004-05-01,0.7700000000000005,0.3119422875912359,4.574710978503383,4.091005660956586,3.563882963939251,3.548179572010801
2004-06-01,0.7299999999999995,0.28530275679849737,4.5591262474866845,4.092676505121403,3.580737295494233,3.5136328109919437
2004-07-01,0.6899999999999995,0.2773092079710686,4.5591262474866845,4.089332020398556,3.6082115510464816,3.5564902660681907
2004-08-01,0.5100000000000002,0.2739512909459232,4.56954300834494,4.085976312551584,3.6054978451748854,3.653511310276145
2004-09-01,0.5499999999999998,0.29358410760829123,4.564348191467836,4.096009841541162,3.6270040503958487,3.582963228522387
2004-10-01,0.5099999999999998,0.30039611794844046,4.56954300834494,4.096009841541162,3.653252276470785,3.6430972614588084
2004-11-01,0.54,0.29099704724256936,4.543294782270004,4.092676505121403,3.6270040503958487,3.5473158897921495
2004-12-01,0.5700000000000003,0.2519989836252803,4.543294782270004,4.09933210373314,3.632309102625542,3.5304697173662944
2005-01-01,0.77,0.2831295743770168,4.537961436294641,4.0943445622221,3.58351893845611,3.6459719531026598
2005-02-01,0.6899999999999995,0.2592578582867149,4.548599834499697,4.0943445622221,3.572345637857985,3.6805952345262387
2005-03-01,0.7299999999999995,0.26912505315375324,4.579852378003801,4.097672352314776,3.580737295494233,3.830379016387636
2005-04-01,0.8300000000000005,0.2368706776867464,4.59511985013459,4.092676505121403,3.6082115510464816,3.8522730010223722
2005-05-01,0.71,0.23327316202926918,4.584967478670572,4.092676505121403,3.6109179126442243,3.808216836702557
2005-06-01,0.6699999999999999,0.279231773511901,4.5591262474866845,4.092676505121403,3.6109179126442243,3.933784497209659
2005-07-01,0.7699999999999996,0.27374923908466586,4.579852378003801,4.091005660956586,3.673765816303888,3.9699144838439238
2005-08-01,0.75,0.2997202604796283,4.574710978503383,4.089332020398556,3.6428355156125294,4.04006435530903
2005-09-01,0.6300000000000008,0.2757412275320168,4.590056548178043,4.089332020398556,3.624340932976365,4.0418224429629905
2005-10-01,0.5500000000000007,0.301972833061098,4.590056548178043,4.091005660956586,3.6506582412937387,3.9811758641164627
2005-11-01,0.5800000000000001,0.33848044649121833,4.600157644164547,4.092676505121403,3.7013019741124933,3.9396381724611196
2005-12-01,0.54,0.3094830344613615,4.605170185988092,4.092676505121403,3.758871825933971,3.974809993526911
2006-01-01,0.5600000000000005,0.33499627492839634,4.605170185988092,4.097672352314776,3.6988297849671046,4.0683427596831
2006-02-01,0.41000000000000014,0.2732741100396283,4.605170185988092,4.096009841541162,3.716008121502189,4.048998460455224
2006-03-01,0.4900000000000002,0.26072084153576247,4.605170185988092,4.096009841541162,3.7062280924485496,4.068171687918078
2006-04-01,0.5,0.25068505741711,4.605170185988092,4.0943445622221,3.711130063048756,4.167285186623816
2006-05-01,0.41999999999999993,0.26339595541059424,4.61512051684126,4.0943445622221,3.7184382563554808,4.178992036282385
2006-06-01,0.3600000000000003,0.24586868494329117,4.584967478670572,4.0943445622221,3.7232808808312687,4.176845783733844
2006-07-01,0.27000000000000046,0.19477221205938378,4.59511985013459,4.092676505121403,3.6454498961866,4.234251421632511
2006-08-01,0.17000000000000082,0.27524083252638665,4.590056548178043,4.092676505121403,3.735285826928092,4.230476736546681
2006-09-01,0.1999999999999993,0.2798175689803868,4.590056548178043,4.092676505121403,3.7819143200811256,4.087823345231835
2006-10-01,0.16999999999999993,0.3146767448042498,4.590056548178043,4.092676505121403,3.7887247890836524,4.0314047624482265
2006-11-01,0.1900000000000004,0.30653512284373363,4.574710978503383,4.096009841541162,3.7887247890836524,4.04006435530903
2006-12-01,0.1299999999999999,0.2754860565054118,4.579852378003801,4.097672352314776,3.966511190712216,4.067487108052218
2007-01-01,0.07000000000000028,0.2550339368280232,4.590056548178043,4.09933210373314,3.8133070324889884,3.9481620520440193
